"Date","Price","Open","High","Low","Vol.","Change %"
"01/28/2026","125,069.19","125,321.20","125,473.72","123,419.62","240.92M","1.34%"
"01/27/2026","123,419.62","124,222.66","124,790.82","123,419.62","267.97M","-0.92%"
"01/26/2026","124,563.48","123,482.02","124,563.48","122,281.28","231.04M","1.87%"
"01/23/2026","122,281.28","122,414.22","122,683.24","121,434.26","224.64M","0.64%"
"01/22/2026","121,501.68","120,456.71","122,025.23","120,448.47","300.39M","0.60%"
"01/21/2026","120,780.97","121,222.44","121,657.36","120,534.40","245.80M","0.20%"
"01/20/2026","120,534.40","120,630.92","120,671.12","119,866.06","214.28M","0.35%"
"01/19/2026","120,116.38","120,071.42","120,352.94","119,649.18","168.40M","-0.04%"
"01/16/2026","120,169.74","120,612.11","121,041.80","119,758.17","268.87M","-0.58%"
"01/15/2026","120,870.11","120,620.63","121,602.47","120,509.49","246.09M","0.01%"
"01/14/2026","120,856.82","121,017.08","121,629.82","120,536.33","228.39M","-0.09%"
"01/13/2026","120,964.38","120,028.27","120,964.38","119,805.82","212.34M","0.68%"
"01/12/2026","120,148.14","119,244.32","120,148.14","118,110.22","176.92M","1.73%"
"01/09/2026","118,110.22","117,540.36","118,439.44","116,989.26","170.39M","0.96%"
"01/08/2026","116,989.26","117,514.37","118,035.06","116,874.76","181.00M","-0.79%"
"01/07/2026","117,922.55","118,256.56","118,722.83","117,796.72","452.78M","-0.67%"
"01/06/2026","118,722.83","116,395.41","119,052.92","116,395.41","224.43M","1.84%"
"01/05/2026","116,582.66","116,654.50","116,715.35","115,733.20","140.07M","0.42%"
"01/02/2026","116,091.98","116,684.88","116,925.71","115,748.57","97.58M","0.22%"
"12/31/2025","115,832.28","115,832.28","115,832.28","115,832.28","69.15M","-0.57%"
"12/30/2025","116,501.18","115,974.15","117,246.37","115,974.15","97.15M","0.39%"
"12/29/2025","116,047.93","116,873.75","117,427.67","115,979.99","96.52M","-0.89%"
"12/24/2025","117,085.45","117,080.66","117,528.91","116,602.49","42.17M","0.41%"
"12/23/2025","116,602.49","116,105.37","116,855.92","115,909.65","119.54M","0.60%"
"12/22/2025","115,909.65","115,672.88","116,328.88","114,849.89","151.83M","0.92%"
"12/19/2025","114,849.89","114,555.20","115,143.66","113,452.54","568.92M","0.29%"
"12/18/2025","114,515.83","114,183.87","115,286.54","113,744.39","504.57M","0.41%"
"12/17/2025","114,044.15","113,120.73","114,302.86","113,120.73","265.90M","1.05%"
"12/15/2025","112,863.01","112,619.74","113,672.23","112,619.74","200.53M","-0.39%"
"12/12/2025","113,301.77","113,161.84","114,312.90","112,123.60","259.11M","1.05%"
"12/11/2025","112,123.60","111,181.49","112,525.72","111,042.85","256.08M","0.97%"
"12/10/2025","111,042.85","110,841.88","111,115.61","110,730.56","196.86M","0.28%"
"12/09/2025","110,730.56","110,317.36","110,827.39","110,005.28","245.06M","-0.09%"
"12/08/2025","110,827.39","112,594.74","112,594.74","110,790.10","196.28M","-1.47%"
"12/05/2025","112,479.92","111,485.61","112,479.92","110,924.74","278.68M","1.40%"
"12/04/2025","110,924.74","111,041.79","111,383.27","110,546.60","241.73M","-0.37%"
"12/03/2025","111,332.74","110,856.90","111,622.54","110,272.32","228.09M","0.45%"
"12/02/2025","110,836.89","111,140.73","111,947.89","110,836.89","220.22M","-0.99%"
"12/01/2025","111,947.89","111,052.17","111,947.89","110,147.65","254.45M","0.89%"
"11/28/2025","110,958.51","111,616.29","111,616.29","110,458.38","398.38M","0.35%"
"11/27/2025","110,567.85","112,354.86","112,562.88","110,561.89","254.42M","-1.16%"
"11/26/2025","111,861.66","111,043.16","112,328.23","110,295.21","259.52M","1.42%"
"11/25/2025","110,295.21","110,597.90","110,898.31","109,222.46","248.78M","0.25%"
"11/24/2025","110,015.43","110,498.83","110,756.14","109,017.41","862.40M","0.34%"
"11/21/2025","109,641.33","110,112.22","111,896.75","108,263.46","243.58M","-2.02%"
"11/20/2025","111,896.75","112,100.83","112,876.92","111,640.37","286.30M","-0.11%"
"11/19/2025","112,019.34","111,035.14","112,019.34","110,391.91","232.03M","1.47%"
"11/18/2025","110,391.91","110,697.46","112,314.18","109,870.93","330.58M","-1.71%"
"11/17/2025","112,314.18","111,712.82","112,580.99","111,712.82","203.96M","0.30%"
"11/14/2025","111,973.21","112,946.52","114,045.55","110,793.68","194.13M","-1.82%"
"11/13/2025","114,045.55","113,378.76","115,716.46","112,908.47","272.28M","1.01%"
"11/12/2025","112,908.47","111,335.49","112,947.91","111,187.24","282.21M","1.55%"
"11/11/2025","111,187.24","111,331.78","111,791.36","110,841.60","220.41M","0.31%"
"11/10/2025","110,841.60","110,504.82","111,239.42","108,846.44","182.53M","1.83%"
"11/07/2025","108,846.44","109,442.77","110,100.53","108,287.84","190.62M","-1.14%"
"11/06/2025","110,100.53","109,226.56","110,342.92","108,795.92","248.39M","1.20%"
"11/05/2025","108,795.92","107,534.98","108,801.67","107,008.17","277.92M","1.32%"
"11/04/2025","107,381.91","108,179.25","109,080.93","106,789.67","246.12M","-1.56%"
"11/03/2025","109,080.93","109,225.60","109,915.08","108,623.95","215.57M","-0.15%"
"10/31/2025","109,243.56","109,619.04","109,884.40","109,201.27","261.80M","-0.39%"
"10/30/2025","109,669.78","110,178.86","110,371.25","109,095.01","232.97M","-0.64%"
"10/29/2025","110,371.25","110,341.99","111,466.46","109,762.60","229.03M","0.50%"
"10/28/2025","109,818.48","108,049.90","110,033.51","108,049.90","350.63M","1.02%"
"10/27/2025","108,707.33","110,567.46","111,128.04","108,678.92","238.45M","-1.57%"
"10/24/2025","110,443.73","111,051.19","111,223.22","109,472.91","207.16M","-0.27%"
"10/23/2025","110,742.69","109,373.72","110,742.69","108,837.14","224.97M","1.75%"
"10/22/2025","108,837.14","109,073.70","109,654.94","107,637.52","323.84M","-0.06%"
"10/21/2025","108,902.00","111,234.48","111,389.50","108,508.31","325.48M","-2.18%"
"10/20/2025","111,325.70","111,000.07","111,618.62","110,493.48","271.56M","0.53%"
"10/17/2025","110,736.11","112,969.65","113,024.09","110,736.11","269.56M","-2.02%"
"10/16/2025","113,024.09","111,846.89","113,196.77","111,634.60","258.68M","1.24%"
"10/15/2025","111,634.60","111,711.82","112,216.62","110,875.39","350.29M","0.68%"
"10/14/2025","110,875.39","110,370.05","111,028.82","109,986.06","245.19M","-0.14%"
"10/13/2025","111,028.82","110,358.89","111,120.63","110,022.75","211.99M","0.91%"
"10/10/2025","110,022.75","108,880.45","110,304.35","108,880.45","298.79M","-0.20%"
"10/09/2025","110,243.26","110,597.65","111,467.70","110,241.54","","-0.66%"
"10/08/2025","110,970.72","109,993.94","110,970.72","109,448.89","279.72M","1.39%"
"10/07/2025","109,448.89","109,694.55","109,949.00","109,205.66","279.76M","-0.43%"
"10/06/2025","109,925.94","110,138.48","110,350.02","109,497.54","280.81M","0.13%"
"10/03/2025","109,778.12","108,617.97","109,778.12","108,089.86","240.82M","1.56%"
"10/02/2025","108,089.86","109,028.66","109,472.77","107,984.86","268.85M","-0.52%"
"10/01/2025","108,649.81","108,086.19","109,156.96","107,830.67","347.46M","0.66%"
"09/30/2025","107,940.48","107,506.66","108,110.39","106,750.40","341.89M","0.65%"
"09/29/2025","107,243.58","107,914.92","107,914.92","106,700.14","236.95M","0.51%"
"09/26/2025","106,700.14","106,241.37","106,893.82","105,565.98","233.07M","0.85%"
"09/25/2025","105,803.18","106,005.40","106,693.24","105,647.81","296.33M","-0.83%"
"09/23/2025","106,693.24","106,352.91","106,828.29","105,963.07","297.35M","0.69%"
"09/22/2025","105,963.07","106,968.14","106,968.14","105,594.82","244.56M","-0.14%"
"09/19/2025","106,110.83","105,675.58","106,110.83","104,983.85","646.97M","0.65%"
"09/18/2025","105,422.83","104,504.81","105,898.85","104,504.81","444.32M","0.05%"
"09/17/2025","105,367.88","104,845.19","105,446.04","104,257.46","259.34M","0.46%"
"09/16/2025","104,884.98","105,486.83","105,486.83","104,644.52","358.09M","0.20%"
"09/15/2025","104,675.38","104,388.64","104,754.05","104,093.54","221.84M","0.21%"
"09/12/2025","104,458.36","104,456.25","104,613.93","103,927.36","305.23M","0.51%"
"09/11/2025","103,927.36","103,544.26","104,081.91","102,800.93","262.01M","0.33%"
"09/10/2025","103,587.74","103,380.19","103,659.82","103,131.08","283.47M","0.35%"
"09/09/2025","103,227.66","103,181.24","103,759.84","102,771.76","321.06M","0.44%"
"09/08/2025","102,771.76","102,223.26","102,771.76","101,532.28","263.98M","1.22%"
"09/05/2025","101,532.28","101,080.10","102,173.57","100,432.95","295.79M","1.09%"
"09/04/2025","100,432.95","101,287.26","101,540.16","100,432.95","454.16M","-1.07%"
"09/03/2025","101,514.87","101,887.52","101,887.52","100,586.22","344.41M","0.34%"
"09/02/2025","101,167.18","102,405.10","102,405.10","100,589.31","329.39M","-0.72%"
"09/01/2025","101,899.00","102,500.98","102,741.69","101,835.59","283.83M","0.06%"
"08/29/2025","101,835.59","101,850.63","102,110.69","101,398.39","301.52M","-0.02%"
"08/28/2025","101,858.90","102,053.94","102,625.06","101,658.56","281.12M","-0.14%"
"08/27/2025","102,006.75","102,409.17","102,433.16","101,725.29","271.76M","-0.42%"
"08/26/2025","102,433.16","102,856.71","102,978.47","102,157.31","834.00M","-0.53%"
"08/25/2025","102,978.47","102,927.25","103,265.96","102,723.50","210.16M","0.25%"
"08/22/2025","102,723.50","102,007.28","102,723.50","101,750.49","256.47M","0.96%"
"08/21/2025","101,750.49","101,379.74","101,866.63","101,055.87","235.40M","0.69%"
"08/20/2025","101,055.87","100,758.44","101,196.15","100,640.26","233.76M","-0.14%"
"08/19/2025","101,196.15","101,041.08","101,727.26","100,898.14","233.45M","0.05%"
"08/18/2025","101,142.62","102,296.47","102,296.47","101,142.62","196.30M","-0.79%"
"08/15/2025","101,950.32","102,348.94","102,462.70","101,792.37","186.03M","-0.04%"
"08/14/2025","101,993.04","102,193.92","102,553.36","101,529.98","228.25M","-0.28%"
"08/13/2025","102,278.42","101,777.12","102,639.58","101,271.16","254.47M","0.99%"
"08/12/2025","101,271.16","100,810.23","101,386.53","100,630.37","216.25M","0.64%"
"08/11/2025","100,630.37","100,714.75","101,090.13","100,254.87","225.35M","-0.22%"
"08/08/2025","100,855.21","100,630.17","101,058.47","100,603.70","283.44M","0.21%"
"08/07/2025","100,643.36","100,323.35","100,962.91","100,152.77","318.29M","0.49%"
"08/06/2025","100,152.77","99,907.21","100,347.25","99,674.14","212.65M","0.48%"
"08/05/2025","99,674.14","99,760.36","100,092.12","99,312.06","294.69M","0.36%"
"08/04/2025","99,312.06","98,631.52","99,312.06","97,744.15","280.71M","1.60%"
"08/01/2025","97,744.15","98,249.25","98,519.51","97,010.47","269.72M","-0.79%"
"07/31/2025","98,519.51","98,820.01","99,358.90","98,519.51","366.38M","-0.80%"
"07/30/2025","99,314.70","99,043.66","99,430.73","98,827.33","203.46M","0.15%"
"07/29/2025","99,165.06","98,891.04","99,456.26","98,692.31","242.70M","0.47%"
"07/28/2025","98,696.39","99,338.36","99,402.24","98,482.87","188.24M","-0.22%"
"07/25/2025","98,918.87","99,619.88","99,971.12","98,848.18","386.86M","-1.05%"
"07/24/2025","99,971.12","100,133.24","100,521.22","99,463.92","393.50M","-0.21%"
"07/23/2025","100,179.84","100,107.68","100,504.10","99,324.53","337.02M","0.86%"
"07/22/2025","99,324.53","99,567.61","99,653.78","98,822.95","2.00B","-0.33%"
"07/21/2025","99,653.78","98,813.92","99,658.14","98,687.07","258.36M","0.98%"
"07/18/2025","98,687.07","97,886.10","98,867.38","97,353.34","283.94M","1.37%"
"07/17/2025","97,353.34","97,263.80","97,374.64","97,001.62","274.37M","0.30%"
"07/16/2025","97,064.25","97,021.53","97,194.13","96,484.39","259.98M","0.05%"
"07/15/2025","97,019.36","97,254.36","97,653.63","96,799.66","231.98M","0.23%"
"07/14/2025","96,799.66","97,459.64","97,459.64","96,685.30","222.87M","-0.43%"
"07/11/2025","97,221.58","97,819.07","97,819.07","96,703.60","237.37M","-0.15%"
"07/10/2025","97,364.46","97,551.19","98,140.32","97,230.02","195.66M","0.14%"
"07/09/2025","97,230.02","96,888.32","97,583.38","96,888.32","182.23M","-0.03%"
"07/08/2025","97,255.74","97,538.47","97,878.81","97,167.82","253.94M","-0.11%"
"07/07/2025","97,363.36","96,967.21","97,375.13","96,461.90","146.59M","0.19%"
"07/04/2025","97,182.71","96,977.71","97,186.58","96,711.91","124.97M","0.25%"
"07/03/2025","96,937.03","96,968.28","97,284.25","96,609.37","204.04M","0.34%"
"07/02/2025","96,609.37","96,958.19","97,178.55","95,962.01","273.04M","-0.31%"
"07/01/2025","96,911.35","96,984.09","97,300.39","96,429.74","233.61M","0.50%"
"06/30/2025","96,429.74","96,098.65","96,706.28","95,862.28","284.14M","0.59%"
"06/27/2025","95,862.28","96,010.73","96,010.73","95,342.00","256.99M","-0.11%"
"06/26/2025","95,968.26","95,774.03","96,315.73","95,311.22","316.00M","0.69%"
"06/25/2025","95,311.22","95,991.55","96,526.09","94,905.64","297.04M","-0.60%"
"06/24/2025","95,887.03","95,448.53","96,100.77","95,128.20","247.66M","0.80%"
"06/23/2025","95,128.20","94,283.79","95,145.53","94,220.84","194.10M","0.44%"
"06/20/2025","94,710.48","94,819.50","95,527.61","94,710.48","593.88M","-0.22%"
"06/19/2025","94,914.70","94,554.68","94,992.81","94,047.47","343.80M","-0.08%"
"06/18/2025","94,992.81","94,361.01","95,182.82","94,013.92","231.46M","0.35%"
"06/17/2025","94,657.07","95,079.60","95,453.03","94,382.93","335.88M","-0.70%"
"06/13/2025","95,324.34","96,720.49","97,029.34","95,324.34","348.22M","-1.76%"
"06/12/2025","97,029.34","96,465.89","97,182.75","96,134.16","263.20M","0.65%"
"06/11/2025","96,404.14","96,881.31","97,094.28","96,053.16","265.74M","-0.26%"
"06/10/2025","96,657.00","96,577.79","97,055.12","96,407.34","311.95M","0.25%"
"06/09/2025","96,413.48","96,599.34","96,774.75","96,310.89","264.62M","0.05%"
"06/06/2025","96,366.08","96,797.22","96,901.34","96,336.01","260.76M","-0.05%"
"06/05/2025","96,411.77","95,910.14","96,776.84","95,650.16","284.04M","0.80%"
"06/04/2025","95,650.16","95,272.37","95,882.40","94,882.30","228.25M","0.81%"
"06/03/2025","94,882.30","94,812.01","95,097.13","94,545.87","","-0.29%"
"06/02/2025","95,162.33","94,290.33","95,162.33","94,256.84","221.26M","0.88%"
"05/30/2025","94,330.84","94,469.35","95,055.97","94,184.69","495.08M","-0.42%"
"05/29/2025","94,726.12","94,079.95","94,963.41","93,868.87","350.59M","0.91%"
"05/28/2025","93,868.87","93,602.18","94,315.72","93,590.33","215.02M","0.11%"
"05/27/2025","93,764.15","93,079.46","93,965.08","93,079.46","215.21M","0.04%"
"05/26/2025","93,724.31","93,595.29","94,203.95","93,492.61","139.90M","0.21%"
"05/23/2025","93,528.74","93,361.47","93,994.12","92,835.75","182.54M","0.42%"
"05/22/2025","93,135.11","93,193.17","93,397.44","92,490.41","230.85M","-0.28%"
"05/21/2025","93,397.44","93,294.26","93,827.39","92,763.22","267.44M","0.68%"
