market,model,mean_auc,above_p97_5,above_196,share_above_p97_5,frame,scaler,cv
SHANGHAI,CNN-WGAN-GP,0.6975495916799304,False,False,0.0,F,pre,contiguous
SHANGHAI,GARCH,0.6895763212899619,False,False,0.05,F,pre,contiguous
SHANGHAI,GJR-GARCH,0.6827693030555739,False,False,0.03333333333333333,F,pre,contiguous
BOVESPA,TimeGAN,0.8797116035703293,False,False,0.3333333333333333,published subset,pre,contiguous
BOVESPA,GARCH,0.788874269005848,False,False,0.3333333333333333,published subset,pre,contiguous
BOVESPA,GJR-GARCH,0.7660717913204063,False,False,0.0,published subset,pre,contiguous
FTSE,TimeGAN,0.8315283892945781,True,False,0.6666666666666666,published subset,pre,contiguous
FTSE,GARCH,0.6538145970551738,False,False,0.0,published subset,pre,contiguous
FTSE,GJR-GARCH,0.543113724226804,False,False,0.0,published subset,pre,contiguous
MOEX,TimeGAN,0.658130787037037,False,False,0.0,published subset,pre,contiguous
MOEX,GARCH,0.7288628472222222,False,False,0.0,published subset,pre,contiguous
MOEX,GJR-GARCH,0.6470269097222222,False,False,0.0,published subset,pre,contiguous
NIFTY50,TimeGAN,0.8846030317020622,False,False,0.3333333333333333,published subset,pre,contiguous
NIFTY50,GARCH,0.6978357186826716,False,False,0.3333333333333333,published subset,pre,contiguous
NIFTY50,GJR-GARCH,0.5589336718990459,False,False,0.0,published subset,pre,contiguous
SHANGHAI,TimeGAN,0.9197392557168499,False,False,0.3333333333333333,published subset,pre,contiguous
SHANGHAI,GARCH,0.6396749019482431,False,False,0.0,published subset,pre,contiguous
SHANGHAI,GJR-GARCH,0.6353078985066941,False,False,0.0,published subset,pre,contiguous
BOVESPA,TimeGAN,0.8697312865497077,False,False,0.5166666666666667,F,post,contiguous
BOVESPA,QuantGAN,0.7518314943059402,False,False,0.08333333333333333,F,post,contiguous
BOVESPA,CNN-WGAN-GP,0.7231626000307786,False,False,0.016666666666666666,F,post,contiguous
BOVESPA,GARCH,0.79100195829486,False,False,0.1,F,post,contiguous
BOVESPA,GJR-GARCH,0.7649174438288705,False,False,0.03333333333333333,F,post,contiguous
FTSE,TimeGAN,0.7708853122613594,False,False,0.55,F,post,contiguous
FTSE,QuantGAN,0.5477186806450459,False,False,0.016666666666666666,F,post,contiguous
FTSE,CNN-WGAN-GP,0.5237849496766418,False,False,0.0,F,post,contiguous
FTSE,GARCH,0.5277214287418863,False,False,0.016666666666666666,F,post,contiguous
FTSE,GJR-GARCH,0.5190716727520045,False,False,0.0,F,post,contiguous
MOEX,TimeGAN,0.624150390625,False,False,0.016666666666666666,F,post,contiguous
MOEX,QuantGAN,0.5985908564814815,False,False,0.016666666666666666,F,post,contiguous
MOEX,CNN-WGAN-GP,0.5668460648148148,False,False,0.0,F,post,contiguous
MOEX,GARCH,0.574447337962963,False,False,0.0,F,post,contiguous
MOEX,GJR-GARCH,0.5773759403935187,False,False,0.0,F,post,contiguous
NIFTY50,TimeGAN,0.8420914800707909,False,False,0.31666666666666665,F,post,contiguous
NIFTY50,QuantGAN,0.6355535587873192,False,False,0.03333333333333333,F,post,contiguous
NIFTY50,CNN-WGAN-GP,0.6458331409664512,False,False,0.0,F,post,contiguous
NIFTY50,GARCH,0.6649888004001231,False,False,0.03333333333333333,F,post,contiguous
NIFTY50,GJR-GARCH,0.6116299399815329,False,False,0.0,F,post,contiguous
SHANGHAI,TimeGAN,0.879505735505027,False,False,0.13333333333333333,F,post,contiguous
SHANGHAI,QuantGAN,0.6513137008418962,False,False,0.0,F,post,contiguous
SHANGHAI,CNN-WGAN-GP,0.6994579129797319,False,False,0.0,F,post,contiguous
SHANGHAI,GARCH,0.6895076543100542,False,False,0.05,F,post,contiguous
SHANGHAI,GJR-GARCH,0.682549944280854,False,False,0.03333333333333333,F,post,contiguous
BOVESPA,TimeGAN,0.881618728839643,False,False,0.3333333333333333,published subset,post,contiguous
BOVESPA,GARCH,0.7868605724838412,False,False,0.3333333333333333,published subset,post,contiguous
BOVESPA,GJR-GARCH,0.7645717143736533,False,False,0.0,published subset,post,contiguous
FTSE,TimeGAN,0.8303195995609012,True,False,0.6666666666666666,published subset,post,contiguous
FTSE,GARCH,0.6528947862972508,False,False,0.0,published subset,post,contiguous
FTSE,GJR-GARCH,0.5430074545389462,False,False,0.0,published subset,post,contiguous
MOEX,TimeGAN,0.659620949074074,False,False,0.0,published subset,post,contiguous
MOEX,GARCH,0.728515625,False,False,0.0,published subset,post,contiguous
MOEX,GJR-GARCH,0.6454427083333333,False,False,0.0,published subset,post,contiguous
NIFTY50,TimeGAN,0.8846768236380426,False,False,0.3333333333333333,published subset,post,contiguous
NIFTY50,GARCH,0.6967753154816867,False,False,0.3333333333333333,published subset,post,contiguous
NIFTY50,GJR-GARCH,0.5587441520467836,False,False,0.0,published subset,post,contiguous
SHANGHAI,TimeGAN,0.9194103528551244,False,False,0.3333333333333333,published subset,post,contiguous
SHANGHAI,GARCH,0.6388051256694293,False,False,0.0,published subset,post,contiguous
SHANGHAI,GJR-GARCH,0.634456654276434,False,False,0.0,published subset,post,contiguous
BOVESPA,TimeGAN,0.8507396698984304,False,False,0.5333333333333333,F,pre,purged
BOVESPA,QuantGAN,0.743749095875654,False,False,0.06666666666666667,F,pre,purged
BOVESPA,CNN-WGAN-GP,0.7090703870421667,False,False,0.016666666666666666,F,pre,purged
BOVESPA,GARCH,0.7830462296091106,False,False,0.1,F,pre,purged
BOVESPA,GJR-GARCH,0.7571135849492152,False,False,0.03333333333333333,F,pre,purged
FTSE,TimeGAN,0.7447553970086389,False,False,0.5333333333333333,F,pre,purged
FTSE,QuantGAN,0.5165467049684994,False,False,0.016666666666666666,F,pre,purged
FTSE,CNN-WGAN-GP,0.49209161864022527,False,False,0.0,F,pre,purged
FTSE,GARCH,0.4992812813215923,False,False,0.0,F,pre,purged
FTSE,GJR-GARCH,0.47880920526680026,False,False,0.0,F,pre,purged
MOEX,TimeGAN,0.5944263599537039,False,False,0.016666666666666666,F,pre,purged
MOEX,QuantGAN,0.567253689236111,False,False,0.0,F,pre,purged
MOEX,CNN-WGAN-GP,0.5498404947916667,False,False,0.0,F,pre,purged
MOEX,GARCH,0.5539246961805555,False,False,0.0,F,pre,purged
MOEX,GJR-GARCH,0.557521339699074,False,False,0.0,F,pre,purged
NIFTY50,TimeGAN,0.8345488881194213,False,False,0.3333333333333333,F,pre,purged
NIFTY50,QuantGAN,0.6131175053862726,False,False,0.05,F,pre,purged
NIFTY50,CNN-WGAN-GP,0.6277334295167746,False,False,0.0,F,pre,purged
NIFTY50,GARCH,0.6533212219144353,False,False,0.03333333333333333,F,pre,purged
NIFTY50,GJR-GARCH,0.590603678054786,False,False,0.0,F,pre,purged
SHANGHAI,TimeGAN,0.8541021796477108,False,False,0.13333333333333333,F,pre,purged
SHANGHAI,QuantGAN,0.6360177579665258,False,False,0.0,F,pre,purged
SHANGHAI,CNN-WGAN-GP,0.6810990365794757,False,False,0.0,F,pre,purged
SHANGHAI,GARCH,0.6648787093822185,False,False,0.05,F,pre,purged
SHANGHAI,GJR-GARCH,0.6570843265609357,False,False,0.03333333333333333,F,pre,purged
BOVESPA,TimeGAN,0.8746366574330563,False,False,0.3333333333333333,published subset,pre,purged
BOVESPA,GARCH,0.7889575253924285,False,False,0.3333333333333333,published subset,pre,purged
BOVESPA,GJR-GARCH,0.7624772237611573,False,False,0.0,published subset,pre,purged
FTSE,TimeGAN,0.8261471160271096,True,False,0.6666666666666666,published subset,pre,purged
FTSE,GARCH,0.6443813538087056,False,False,0.0,published subset,pre,purged
FTSE,GJR-GARCH,0.5105253973367697,False,False,0.0,published subset,pre,purged
MOEX,TimeGAN,0.6311704282407408,False,False,0.0,published subset,pre,purged
MOEX,GARCH,0.7138671875,False,False,0.0,published subset,pre,purged
MOEX,GJR-GARCH,0.6203703703703703,False,False,0.0,published subset,pre,purged
NIFTY50,TimeGAN,0.876726839027393,False,False,0.6666666666666666,published subset,pre,purged
NIFTY50,GARCH,0.6891028778085565,False,False,0.3333333333333333,published subset,pre,purged
NIFTY50,GJR-GARCH,0.545240458602647,False,False,0.0,published subset,pre,purged
SHANGHAI,TimeGAN,0.9116667445668707,False,False,0.3333333333333333,published subset,pre,purged
SHANGHAI,GARCH,0.6260028421274465,False,False,0.0,published subset,pre,purged
SHANGHAI,GJR-GARCH,0.6167700279374732,False,False,0.0,published subset,pre,purged
BOVESPA,TimeGAN,0.8512702139119728,False,False,0.5333333333333333,F,post,purged
BOVESPA,QuantGAN,0.7358915320098494,False,False,0.08333333333333333,F,post,purged
BOVESPA,CNN-WGAN-GP,0.7026032817790089,False,False,0.016666666666666666,F,post,purged
BOVESPA,GARCH,0.7798683710372423,False,False,0.1,F,post,purged
BOVESPA,GJR-GARCH,0.7534556132656203,False,False,0.03333333333333333,F,post,purged
FTSE,TimeGAN,0.7451365173969074,False,False,0.5333333333333333,F,post,purged
FTSE,QuantGAN,0.5157009996062428,False,False,0.016666666666666666,F,post,purged
FTSE,CNN-WGAN-GP,0.49207038707521955,False,False,0.0,F,post,purged
FTSE,GARCH,0.4970902389986636,False,False,0.0,F,post,purged
FTSE,GJR-GARCH,0.47795718338344795,False,False,0.0,F,post,purged
MOEX,TimeGAN,0.5948998119212963,False,False,0.016666666666666666,F,post,purged
MOEX,QuantGAN,0.5707411024305556,False,False,0.0,F,post,purged
MOEX,CNN-WGAN-GP,0.5502246093750002,False,False,0.0,F,post,purged
MOEX,GARCH,0.5543406394675926,False,False,0.0,F,post,purged
MOEX,GJR-GARCH,0.5581984230324074,False,False,0.0,F,post,purged
NIFTY50,TimeGAN,0.834241770544783,False,False,0.31666666666666665,F,post,purged
NIFTY50,QuantGAN,0.6094697637734688,False,False,0.05,F,post,purged
NIFTY50,CNN-WGAN-GP,0.6234193713450293,False,False,0.0,F,post,purged
NIFTY50,GARCH,0.6468376308094798,False,False,0.03333333333333333,F,post,purged
NIFTY50,GJR-GARCH,0.5868353493382578,False,False,0.0,F,post,purged
SHANGHAI,TimeGAN,0.8633625254098166,False,False,0.13333333333333333,F,post,purged
SHANGHAI,QuantGAN,0.6329367433942676,False,False,0.0,F,post,purged
SHANGHAI,CNN-WGAN-GP,0.6831293454988852,False,False,0.0,F,post,purged
SHANGHAI,GARCH,0.6638728865469627,False,False,0.05,F,post,purged
SHANGHAI,GJR-GARCH,0.6570270945109876,False,False,0.03333333333333333,F,post,purged
BOVESPA,TimeGAN,0.8804804555247768,False,False,0.6666666666666666,published subset,post,purged
BOVESPA,GARCH,0.7871255771006463,False,False,0.3333333333333333,published subset,post,purged
BOVESPA,GJR-GARCH,0.7612573099415205,False,False,0.0,published subset,post,purged
FTSE,TimeGAN,0.8258076496277206,True,False,0.6666666666666666,published subset,post,purged
FTSE,GARCH,0.6416401178885071,False,False,0.0,published subset,post,purged
FTSE,GJR-GARCH,0.5098648846172203,False,False,0.0,published subset,post,purged
MOEX,TimeGAN,0.6341507523148148,False,False,0.0,published subset,post,purged
MOEX,GARCH,0.714409722222222,False,False,0.0,published subset,post,purged
MOEX,GJR-GARCH,0.6194516782407407,False,False,0.0,published subset,post,purged
NIFTY50,TimeGAN,0.8769412126808249,False,False,0.6666666666666666,published subset,post,purged
NIFTY50,GARCH,0.6891207294552171,False,False,0.3333333333333333,published subset,post,purged
NIFTY50,GJR-GARCH,0.5441934441366574,False,False,0.0,published subset,post,purged
SHANGHAI,TimeGAN,0.9106418238815785,False,False,0.3333333333333333,published subset,post,purged
SHANGHAI,GARCH,0.624452382065241,False,False,0.0,published subset,post,purged
SHANGHAI,GJR-GARCH,0.6153697922688558,False,False,0.0,published subset,post,purged
