market,seed,model,published_auc_raw,replay_vs_stored_second_draw_maxdiff,pre_contiguous,pre_purged,post_contiguous,post_purged,pre_minus_published
NIFTY50,42,CONTROL: shuffled real,0.5057890120036934,,0.5057890120036934,0.3926941366574331,0.505677054478301,0.3921451985226224,0.0
NIFTY50,43,GARCH,0.5869826869806094,,0.5869826869806094,0.5764969990766391,0.5840233148661127,0.5738257156048016,0.0
NIFTY50,43,GJR-GARCH,0.5859566020313942,,0.5859566020313942,0.5374907663896583,0.5853640350877193,0.5376105724838411,0.0
NIFTY50,43,TimeGAN,0.7986855955678671,0.00011706538498401642,0.7984875346260388,0.7864771468144045,0.7989729916897508,0.7870304709141275,-0.00019806094182828193
NIFTY50,43,CONTROL: shuffled real,0.5057890120036934,,0.5057890120036934,0.3926941366574331,0.505677054478301,0.3921451985226224,0.0
NIFTY50,44,GARCH,0.9148169436749768,,0.9148169436749768,0.9153067867036011,0.9147287626962143,0.9146650507848569,0.0
NIFTY50,44,GJR-GARCH,0.7265683287165282,,0.7265683287165282,0.7346881348107109,0.7270521698984304,0.733395891043398,0.0
NIFTY50,44,TimeGAN,0.9513825023084026,0.00010369345545768738,0.9514482917820868,0.9362202216066482,0.9514503693444137,0.9362663896583564,6.578947368418575e-05
NIFTY50,44,CONTROL: shuffled real,0.5057890120036934,,0.5057890120036934,0.3926941366574331,0.505677054478301,0.3921451985226224,0.0
SHANGHAI,42,GARCH,0.5038021859617272,,0.5038021859617272,0.4436966024850986,0.4995301387689636,0.4421952605515827,0.0
SHANGHAI,42,GJR-GARCH,0.4937606856529964,,0.4937606856529964,0.4195147391286165,0.49083721399350055,0.41919985830362877,0.0
SHANGHAI,42,TimeGAN,0.8620972046946763,0.00014207512140274048,0.8617983139115823,0.8538485570832195,0.8613181206534761,0.851880551927046,-0.00029889078309397465
SHANGHAI,42,CONTROL: shuffled real,0.4146168662961897,,0.4146168662961897,0.39080818591744715,0.41437922967358176,0.3866293729689572,0.0
SHANGHAI,43,GARCH,0.4684641933761867,,0.4684641933761867,0.48771521981387594,0.47153772542884076,0.4892362417989535,0.0
SHANGHAI,43,GJR-GARCH,0.4659308787389022,,0.46593087873890227,0.4851848571843259,0.46796530406909664,0.4860394634233942,5.551115123125783e-17
SHANGHAI,43,TimeGAN,0.9070124943727352,0.00020209327340126038,0.9070124943727352,0.8918303185954347,0.9063003225068449,0.8905636612767924,0.0
SHANGHAI,43,CONTROL: shuffled real,0.4146168662961897,,0.4146168662961897,0.39080818591744715,0.41437922967358176,0.3866293729689572,0.0
SHANGHAI,44,GARCH,0.9467583265068154,,0.9467583265068154,0.9465967040833647,0.9453475128104836,0.941925643845187,0.0
SHANGHAI,44,GJR-GARCH,0.9462321311281836,,0.9462321311281837,0.9456104874994772,0.9445674447667052,0.9408700550795445,1.1102230246251565e-16
SHANGHAI,44,TimeGAN,0.9904300829268172,0.0002334675518795848,0.9904069588662322,0.989321358021958,0.9906126154050524,0.9894812584408971,-2.3124060585022477e-05
SHANGHAI,44,CONTROL: shuffled real,0.4146168662961897,,0.4146168662961897,0.39080818591744715,0.41437922967358176,0.3866293729689572,0.0
