market,seed,model,discriminative_auc_raw,unrepaired_null_mean,unrepaired_null_sd,length_matched_null_mean,length_matched_null_sd,absz_unrepaired_stored,absz_length_matched,absz_delta,absz_rank_unrepaired,absz_rank_length_matched,temporal_rank_unrepaired,temporal_rank_length_matched,composite_rank_unrepaired,composite_rank_length_matched,composite_position_unrepaired,composite_position_length_matched,absz_rank_changed,temporal_rank_changed,composite_rank_changed,composite_position_changed
MOEX,42,GARCH,0.767101,0.631976,0.14407,0.625181,0.17288,0.937914,0.820913,-0.117001,5.0,5.0,4.142857,4.142857,4.142857,4.142857,5.0,5.0,False,False,False,False
MOEX,43,CNN-WGAN-GP,0.633572,0.631976,0.14407,0.625181,0.17288,0.011081,0.048534,0.037453,1.0,1.0,2.428571,2.428571,1.785714,1.785714,1.0,1.0,False,False,False,False
MOEX,43,GARCH,0.688759,0.631976,0.14407,0.625181,0.17288,0.394136,0.367754,-0.026382,3.0,3.0,2.285714,2.285714,2.607143,2.607143,2.0,2.0,False,False,False,False
MOEX,43,GJR-GARCH,0.685981,0.631976,0.14407,0.625181,0.17288,0.374855,0.351687,-0.023169,2.0,2.0,1.714286,1.714286,2.607143,2.607143,3.0,3.0,False,False,False,False
MOEX,43,TimeGAN,0.704319,0.631976,0.14407,0.625181,0.17288,0.502139,0.457759,-0.04438,4.0,4.0,4.428571,4.428571,3.928571,3.928571,4.0,4.0,False,False,False,False
MOEX,43,QuantGAN,0.714562,0.631976,0.14407,0.625181,0.17288,0.573237,0.517008,-0.056228,5.0,5.0,4.142857,4.142857,4.071429,4.071429,5.0,5.0,False,False,False,False
MOEX,44,GJR-GARCH,0.533268,0.631976,0.14407,0.625181,0.17288,0.685136,0.53166,-0.153476,3.0,3.0,2.571429,2.571429,1.928571,1.928571,1.0,1.0,False,False,False,False
MOEX,44,CNN-WGAN-GP,0.610048,0.631976,0.14407,0.625181,0.17288,0.152203,0.087539,-0.064664,1.0,1.0,2.571429,2.571429,2.607143,2.607143,2.0,2.0,False,False,False,False
MOEX,44,GARCH,0.730729,0.631976,0.14407,0.625181,0.17288,0.685457,0.610527,-0.07493,4.0,4.0,3.0,3.0,3.285714,3.285714,3.0,3.0,False,False,False,False
MOEX,44,QuantGAN,0.736979,0.631976,0.14407,0.625181,0.17288,0.728838,0.646679,-0.082159,5.0,5.0,2.714286,2.714286,3.392857,3.392857,4.0,4.0,False,False,False,False
MOEX,44,TimeGAN,0.65855,0.631976,0.14407,0.625181,0.17288,0.184458,0.193018,0.008561,2.0,2.0,4.142857,4.142857,3.785714,3.785714,5.0,5.0,False,False,False,False
NIFTY50,42,GJR-GARCH,0.364276,0.476928,0.216928,0.637867,0.170066,0.519331,1.608735,1.089404,2.0,5.0,1.571429,2.0,1.714286,1.928571,1.0,1.0,True,True,True,False
NIFTY50,42,GARCH,0.591708,0.476928,0.216928,0.637867,0.170066,0.529092,0.271419,-0.257673,3.0,1.0,2.857143,2.571429,2.714286,2.571429,2.0,2.0,True,True,True,False
NIFTY50,42,CNN-WGAN-GP,0.828408,0.476928,0.216928,0.637867,0.170066,1.620244,1.120402,-0.499842,4.0,3.0,2.714286,2.571429,3.142857,3.071429,3.0,3.0,True,True,True,False
NIFTY50,42,QuantGAN,0.581325,0.476928,0.216928,0.637867,0.170066,0.481228,0.332471,-0.148757,1.0,2.0,3.285714,3.428571,3.5,3.571429,4.0,4.0,True,True,True,False
NIFTY50,42,TimeGAN,0.903829,0.476928,0.216928,0.637867,0.170066,1.967922,1.563883,-0.404039,5.0,4.0,4.571429,4.428571,3.928571,3.857143,5.0,5.0,True,True,True,False
NIFTY50,43,CNN-WGAN-GP,0.593851,0.476928,0.216928,0.637867,0.170066,0.538972,0.258816,-0.280157,3.0,1.0,3.142857,2.857143,2.321429,2.178571,1.0,1.0,True,True,True,False
NIFTY50,43,GARCH,0.586983,0.476928,0.216928,0.637867,0.170066,0.507311,0.299201,-0.20811,2.0,2.0,1.714286,1.714286,2.5,2.5,2.0,2.0,False,False,False,False
NIFTY50,43,GJR-GARCH,0.585957,0.476928,0.216928,0.637867,0.170066,0.502581,0.305235,-0.197346,1.0,3.0,2.571429,2.857143,2.535714,2.678571,3.0,3.0,True,True,True,False
NIFTY50,43,QuantGAN,0.728847,0.476928,0.216928,0.637867,0.170066,1.161281,0.534971,-0.62631,4.0,4.0,2.857143,2.857143,3.5,3.5,4.0,4.0,False,False,False,False
NIFTY50,43,TimeGAN,0.798686,0.476928,0.216928,0.637867,0.170066,1.483227,0.94563,-0.537598,5.0,5.0,4.714286,4.714286,4.142857,4.142857,5.0,5.0,False,False,False,False
NIFTY50,44,QuantGAN,0.567555,0.476928,0.216928,0.637867,0.170066,0.417753,0.413437,-0.004317,1.0,2.0,2.714286,2.857143,2.214286,2.285714,1.0,2.0,True,True,True,True
NIFTY50,44,CNN-WGAN-GP,0.655844,0.476928,0.216928,0.637867,0.170066,0.824751,0.10571,-0.719041,2.0,1.0,2.428571,2.285714,2.214286,2.142857,1.0,1.0,True,True,True,False
NIFTY50,44,GJR-GARCH,0.726568,0.476928,0.216928,0.637867,0.170066,1.150778,0.521574,-0.629204,3.0,3.0,2.142857,2.142857,2.714286,2.714286,3.0,3.0,False,False,False,False
NIFTY50,44,GARCH,0.914817,0.476928,0.216928,0.637867,0.170066,2.018574,1.628492,-0.390082,4.0,4.0,2.714286,2.714286,3.357143,3.357143,4.0,4.0,False,False,False,False
NIFTY50,44,TimeGAN,0.951383,0.476928,0.216928,0.637867,0.170066,2.187135,1.8435,-0.343635,5.0,5.0,5.0,5.0,4.5,4.5,5.0,5.0,False,False,False,False
SHANGHAI,42,QuantGAN,0.727396,0.536611,0.142518,0.693188,0.156858,1.338641,0.218078,-1.120563,3.0,1.0,2.0,1.714286,2.071429,1.928571,1.0,1.0,True,True,True,False
SHANGHAI,42,GJR-GARCH,0.493761,0.536611,0.142518,0.693188,0.156858,0.300708,1.271394,0.970686,2.0,5.0,3.285714,3.714286,2.642857,2.857143,2.0,2.0,True,True,True,False
SHANGHAI,42,GARCH,0.503802,0.536611,0.142518,0.693188,0.156858,0.23025,1.207377,0.977128,1.0,4.0,3.142857,3.571429,3.0,3.214286,3.0,3.0,True,True,True,False
SHANGHAI,42,TimeGAN,0.862097,0.536611,0.142518,0.693188,0.156858,2.283803,1.076829,-1.206974,5.0,3.0,3.285714,3.0,3.392857,3.25,4.0,4.0,True,True,True,False
SHANGHAI,42,CNN-WGAN-GP,0.841327,0.536611,0.142518,0.693188,0.156858,2.138062,0.944412,-1.19365,4.0,2.0,3.285714,3.0,3.892857,3.75,5.0,5.0,True,True,True,False
SHANGHAI,43,GARCH,0.468464,0.536611,0.142518,0.693188,0.156858,0.478206,1.432665,0.954458,2.0,4.0,1.857143,2.142857,1.892857,2.035714,1.0,1.0,True,True,True,False
SHANGHAI,43,GJR-GARCH,0.465931,0.536611,0.142518,0.693188,0.156858,0.495982,1.448815,0.952833,3.0,5.0,2.0,2.285714,1.964286,2.107143,2.0,2.0,True,True,True,False
SHANGHAI,43,QuantGAN,0.561055,0.536611,0.142518,0.693188,0.156858,0.171478,0.842378,0.6709,1.0,2.0,2.857143,3.0,3.0,3.071429,3.0,3.0,True,True,True,False
SHANGHAI,43,CNN-WGAN-GP,0.726101,0.536611,0.142518,0.693188,0.156858,1.32956,0.209827,-1.119733,4.0,1.0,3.285714,2.857143,3.285714,3.071429,4.0,3.0,True,True,True,True
SHANGHAI,43,TimeGAN,0.907012,0.536611,0.142518,0.693188,0.156858,2.598961,1.363174,-1.235787,5.0,3.0,5.0,4.714286,4.857143,4.714286,5.0,5.0,True,True,True,False
SHANGHAI,44,CNN-WGAN-GP,0.732552,0.536611,0.142518,0.693188,0.156858,1.374824,0.250953,-1.123871,1.0,1.0,2.0,2.0,1.928571,1.928571,1.0,1.0,False,False,False,False
SHANGHAI,44,QuantGAN,0.755481,0.536611,0.142518,0.693188,0.156858,1.53571,0.39713,-1.13858,2.0,2.0,1.571429,1.571429,2.071429,2.071429,2.0,2.0,False,False,False,False
SHANGHAI,44,GJR-GARCH,0.946232,0.536611,0.142518,0.693188,0.156858,2.874154,1.613207,-1.260946,3.0,3.0,3.285714,3.285714,3.464286,3.464286,3.0,3.0,False,False,False,False
SHANGHAI,44,TimeGAN,0.99043,0.536611,0.142518,0.693188,0.156858,3.184278,1.894979,-1.289299,5.0,5.0,4.428571,4.428571,3.714286,3.714286,4.0,4.0,False,False,False,False
SHANGHAI,44,GARCH,0.946758,0.536611,0.142518,0.693188,0.156858,2.877846,1.616562,-1.261284,4.0,4.0,3.714286,3.714286,3.821429,3.821429,5.0,5.0,False,False,False,False
