market,seed,model,discriminative_auc_raw,legacy_null_mean,legacy_null_sd,b999_null_mean,b999_null_sd,absz_legacy_stored,absz_b999,absz_delta,absz_rank_legacy,absz_rank_b999,temporal_rank_legacy,temporal_rank_b999,composite_rank_legacy,composite_rank_b999,composite_position_legacy,composite_position_b999,absz_rank_changed,temporal_rank_changed,composite_rank_changed,composite_position_changed
SHANGHAI,42,GJR-GARCH,0.493761,0.536611,0.142518,0.5686,0.148715,0.300708,0.50324,0.202532,2.0,2.0,3.285714,3.285714,2.642857,2.642857,2.0,2.0,False,False,False,False
SHANGHAI,42,GARCH,0.503802,0.536611,0.142518,0.5686,0.148715,0.23025,0.435718,0.205469,1.0,1.0,3.142857,3.142857,3.0,3.0,3.0,3.0,False,False,False,False
SHANGHAI,42,TimeGAN,0.862097,0.536611,0.142518,0.5686,0.148715,2.283803,1.97355,-0.310253,5.0,5.0,3.285714,3.285714,3.392857,3.392857,4.0,4.0,False,False,False,False
SHANGHAI,42,CNN-WGAN-GP,0.841327,0.536611,0.142518,0.5686,0.148715,2.138062,1.833883,-0.304179,4.0,4.0,3.285714,3.285714,3.892857,3.892857,5.0,5.0,False,False,False,False
SHANGHAI,43,GARCH,0.468464,0.536611,0.142518,0.5686,0.148715,0.478206,0.67334,0.195134,2.0,2.0,1.857143,1.857143,1.892857,1.892857,1.0,1.0,False,False,False,False
SHANGHAI,43,GJR-GARCH,0.465931,0.536611,0.142518,0.5686,0.148715,0.495982,0.690375,0.194393,3.0,3.0,2.0,2.0,1.964286,1.964286,2.0,2.0,False,False,False,False
SHANGHAI,43,QuantGAN,0.561055,0.536611,0.142518,0.5686,0.148715,0.171478,0.050735,-0.120743,1.0,1.0,2.857143,2.857143,3.0,3.0,3.0,3.0,False,False,False,False
SHANGHAI,43,CNN-WGAN-GP,0.726101,0.536611,0.142518,0.5686,0.148715,1.32956,1.059079,-0.270481,4.0,4.0,3.285714,3.285714,3.285714,3.285714,4.0,4.0,False,False,False,False
SHANGHAI,43,TimeGAN,0.907012,0.536611,0.142518,0.5686,0.148715,2.598961,2.275572,-0.323389,5.0,5.0,5.0,5.0,4.857143,4.857143,5.0,5.0,False,False,False,False
SHANGHAI,44,CNN-WGAN-GP,0.732552,0.536611,0.142518,0.5686,0.148715,1.374824,1.102456,-0.272367,1.0,1.0,2.0,2.0,1.928571,1.928571,1.0,1.0,False,False,False,False
SHANGHAI,44,QuantGAN,0.755481,0.536611,0.142518,0.5686,0.148715,1.53571,1.256637,-0.279073,2.0,2.0,1.571429,1.571429,2.071429,2.071429,2.0,2.0,False,False,False,False
SHANGHAI,44,GJR-GARCH,0.946232,0.536611,0.142518,0.5686,0.148715,2.874154,2.539295,-0.334859,3.0,3.0,3.285714,3.285714,3.464286,3.464286,3.0,3.0,False,False,False,False
SHANGHAI,44,TimeGAN,0.99043,0.536611,0.142518,0.5686,0.148715,3.184278,2.836493,-0.347785,5.0,5.0,4.428571,4.428571,3.714286,3.714286,4.0,4.0,False,False,False,False
SHANGHAI,44,GARCH,0.946758,0.536611,0.142518,0.5686,0.148715,2.877846,2.542833,-0.335013,4.0,4.0,3.714286,3.714286,3.821429,3.821429,5.0,5.0,False,False,False,False
