market,seed,model,null,stat,n_draws,positions,share_p_le_05,mean_p,share_above_p97_5,p_floor
BOVESPA,42,TimeGAN,3L,rbf_x1,20,497,0.1,0.4417670682730924,0.1,0.002008032128514056
BOVESPA,42,TimeGAN,3L,poly3,20,497,0.0,0.6579317269076306,0.0,0.002008032128514056
BOVESPA,42,GARCH,3L,rbf_x1,20,497,0.0,0.6101405622489959,0.0,0.002008032128514056
BOVESPA,42,GARCH,3L,poly3,20,497,0.0,0.734437751004016,0.0,0.002008032128514056
BOVESPA,42,QuantGAN,3L,rbf_x1,20,497,0.0,0.6253012048192771,0.0,0.002008032128514056
BOVESPA,42,QuantGAN,3L,poly3,20,497,0.0,0.7278112449799197,0.0,0.002008032128514056
BOVESPA,42,GJR-GARCH,3L,rbf_x1,20,497,0.0,0.667168674698795,0.0,0.002008032128514056
BOVESPA,42,GJR-GARCH,3L,poly3,20,497,0.0,0.7500000000000001,0.0,0.002008032128514056
BOVESPA,42,CNN-WGAN-GP,3L,rbf_x1,20,497,0.0,0.8063253012048193,0.0,0.002008032128514056
BOVESPA,42,CNN-WGAN-GP,3L,poly3,20,497,0.0,0.82359437751004,0.0,0.002008032128514056
BOVESPA,42,CONTROL: shuffled real,3L,rbf_x1,20,497,0.0,0.9540160642570281,0.0,0.002008032128514056
BOVESPA,42,CONTROL: shuffled real,3L,poly3,20,497,0.0,0.9534136546184738,0.0,0.002008032128514056
BOVESPA,43,TimeGAN,3L,rbf_x1,20,497,0.25,0.1318273092369478,0.25,0.002008032128514056
BOVESPA,43,TimeGAN,3L,poly3,20,497,0.0,0.6151606425702811,0.0,0.002008032128514056
BOVESPA,43,GARCH,3L,rbf_x1,20,497,0.05,0.5996987951807229,0.05,0.002008032128514056
BOVESPA,43,GARCH,3L,poly3,20,497,0.0,0.7156626506024096,0.0,0.002008032128514056
BOVESPA,43,QuantGAN,3L,rbf_x1,20,497,0.1,0.5905622489959839,0.1,0.002008032128514056
BOVESPA,43,QuantGAN,3L,poly3,20,497,0.0,0.7110441767068273,0.0,0.002008032128514056
BOVESPA,43,GJR-GARCH,3L,rbf_x1,20,497,0.05,0.6348393574297189,0.05,0.002008032128514056
BOVESPA,43,GJR-GARCH,3L,poly3,20,497,0.0,0.7349397590361446,0.0,0.002008032128514056
BOVESPA,43,CNN-WGAN-GP,3L,rbf_x1,20,497,0.0,0.7003012048192772,0.0,0.002008032128514056
BOVESPA,43,CNN-WGAN-GP,3L,poly3,20,497,0.0,0.76214859437751,0.0,0.002008032128514056
BOVESPA,43,CONTROL: shuffled real,3L,rbf_x1,20,497,0.0,0.9617469879518072,0.0,0.002008032128514056
BOVESPA,43,CONTROL: shuffled real,3L,poly3,20,497,0.0,0.9696787148594378,0.0,0.002008032128514056
BOVESPA,44,TimeGAN,3L,rbf_x1,20,497,0.3,0.31997991967871486,0.3,0.002008032128514056
BOVESPA,44,TimeGAN,3L,poly3,20,497,0.0,0.6182730923694779,0.0,0.002008032128514056
BOVESPA,44,GARCH,3L,rbf_x1,20,497,0.0,0.6199799196787148,0.0,0.002008032128514056
BOVESPA,44,GARCH,3L,poly3,20,497,0.0,0.7120481927710843,0.0,0.002008032128514056
BOVESPA,44,QuantGAN,3L,rbf_x1,20,497,0.0,0.7884538152610442,0.0,0.002008032128514056
BOVESPA,44,QuantGAN,3L,poly3,20,497,0.0,0.8006024096385541,0.0,0.002008032128514056
BOVESPA,44,GJR-GARCH,3L,rbf_x1,20,497,0.0,0.6744979919678714,0.0,0.002008032128514056
BOVESPA,44,GJR-GARCH,3L,poly3,20,497,0.0,0.7414658634538153,0.0,0.002008032128514056
BOVESPA,44,CNN-WGAN-GP,3L,rbf_x1,20,497,0.0,0.7744979919678715,0.0,0.002008032128514056
BOVESPA,44,CNN-WGAN-GP,3L,poly3,20,497,0.0,0.8132530120481928,0.0,0.002008032128514056
BOVESPA,44,CONTROL: shuffled real,3L,rbf_x1,20,497,0.0,0.9174698795180722,0.0,0.002008032128514056
BOVESPA,44,CONTROL: shuffled real,3L,poly3,20,497,0.0,0.9190763052208837,0.0,0.002008032128514056
BOVESPA,42,TimeGAN,4L,rbf_x1,20,993,0.1,0.4446177062374246,0.1,0.001006036217303823
BOVESPA,42,TimeGAN,4L,poly3,20,993,0.0,0.8286217303822937,0.0,0.001006036217303823
BOVESPA,42,GARCH,4L,rbf_x1,20,993,0.05,0.639185110663984,0.0,0.001006036217303823
BOVESPA,42,GARCH,4L,poly3,20,993,0.0,0.8669517102615693,0.0,0.001006036217303823
BOVESPA,42,QuantGAN,4L,rbf_x1,20,993,0.0,0.6670020120724347,0.0,0.001006036217303823
BOVESPA,42,QuantGAN,4L,poly3,20,993,0.0,0.8636317907444667,0.0,0.001006036217303823
BOVESPA,42,GJR-GARCH,4L,rbf_x1,20,993,0.0,0.7077967806841047,0.0,0.001006036217303823
BOVESPA,42,GJR-GARCH,4L,poly3,20,993,0.0,0.8747484909456741,0.0,0.001006036217303823
BOVESPA,42,CNN-WGAN-GP,4L,rbf_x1,20,993,0.0,0.8711770623742456,0.0,0.001006036217303823
BOVESPA,42,CNN-WGAN-GP,4L,poly3,20,993,0.0,0.9116197183098592,0.0,0.001006036217303823
BOVESPA,42,CONTROL: shuffled real,4L,rbf_x1,20,993,0.0,0.9769617706237425,0.0,0.001006036217303823
BOVESPA,42,CONTROL: shuffled real,4L,poly3,20,993,0.0,0.9766599597585512,0.0,0.001006036217303823
BOVESPA,43,TimeGAN,4L,rbf_x1,20,993,0.3,0.13043259557344064,0.25,0.001006036217303823
BOVESPA,43,TimeGAN,4L,poly3,20,993,0.0,0.8071931589537222,0.0,0.001006036217303823
BOVESPA,43,GARCH,4L,rbf_x1,20,993,0.05,0.6155935613682093,0.05,0.001006036217303823
BOVESPA,43,GARCH,4L,poly3,20,993,0.0,0.8575452716297786,0.0,0.001006036217303823
BOVESPA,43,QuantGAN,4L,rbf_x1,20,993,0.1,0.6232897384305834,0.1,0.001006036217303823
BOVESPA,43,QuantGAN,4L,poly3,20,993,0.0,0.8552313883299799,0.0,0.001006036217303823
BOVESPA,43,GJR-GARCH,4L,rbf_x1,20,993,0.05,0.67761569416499,0.05,0.001006036217303823
BOVESPA,43,GJR-GARCH,4L,poly3,20,993,0.0,0.8672032193158954,0.0,0.001006036217303823
BOVESPA,43,CNN-WGAN-GP,4L,rbf_x1,20,993,0.0,0.7730885311871227,0.0,0.001006036217303823
BOVESPA,43,CNN-WGAN-GP,4L,poly3,20,993,0.0,0.8808350100603622,0.0,0.001006036217303823
BOVESPA,43,CONTROL: shuffled real,4L,rbf_x1,20,993,0.0,0.9808350100603622,0.0,0.001006036217303823
BOVESPA,43,CONTROL: shuffled real,4L,poly3,20,993,0.0,0.9848088531187124,0.0,0.001006036217303823
BOVESPA,44,TimeGAN,4L,rbf_x1,20,993,0.3,0.3030684104627766,0.3,0.001006036217303823
BOVESPA,44,TimeGAN,4L,poly3,20,993,0.0,0.8087525150905431,0.0,0.001006036217303823
BOVESPA,44,GARCH,4L,rbf_x1,20,993,0.0,0.6488430583501006,0.0,0.001006036217303823
BOVESPA,44,GARCH,4L,poly3,20,993,0.0,0.8557344064386319,0.0,0.001006036217303823
BOVESPA,44,QuantGAN,4L,rbf_x1,20,993,0.0,0.8235412474849095,0.0,0.001006036217303823
BOVESPA,44,QuantGAN,4L,poly3,20,993,0.0,0.9001006036217305,0.0,0.001006036217303823
BOVESPA,44,GJR-GARCH,4L,rbf_x1,20,993,0.0,0.7214788732394366,0.0,0.001006036217303823
BOVESPA,44,GJR-GARCH,4L,poly3,20,993,0.0,0.8704728370221329,0.0,0.001006036217303823
BOVESPA,44,CNN-WGAN-GP,4L,rbf_x1,20,993,0.0,0.8382796780684105,0.0,0.001006036217303823
BOVESPA,44,CNN-WGAN-GP,4L,poly3,20,993,0.0,0.9064386317907445,0.0,0.001006036217303823
BOVESPA,44,CONTROL: shuffled real,4L,rbf_x1,20,993,0.0,0.9586519114688128,0.0,0.001006036217303823
BOVESPA,44,CONTROL: shuffled real,4L,poly3,20,993,0.0,0.9594567404426559,0.0,0.001006036217303823
BOVESPA,42,TimeGAN,6L,rbf_x1,20,1985,0.2,0.25193856998992953,0.1,0.0005035246727089627
BOVESPA,42,TimeGAN,6L,poly3,20,1985,0.0,0.9142245720040283,0.0,0.0005035246727089627
BOVESPA,42,GARCH,6L,rbf_x1,20,1985,0.05,0.4831319234642497,0.05,0.0005035246727089627
BOVESPA,42,GARCH,6L,poly3,20,1985,0.0,0.9334088620342398,0.0,0.0005035246727089627
BOVESPA,42,QuantGAN,6L,rbf_x1,20,1985,0.0,0.49418429003021147,0.0,0.0005035246727089627
BOVESPA,42,QuantGAN,6L,poly3,20,1985,0.0,0.9317472306143,0.0,0.0005035246727089627
BOVESPA,42,GJR-GARCH,6L,rbf_x1,20,1985,0.0,0.5525679758308157,0.0,0.0005035246727089627
BOVESPA,42,GJR-GARCH,6L,poly3,20,1985,0.0,0.9373111782477341,0.0,0.0005035246727089627
BOVESPA,42,CNN-WGAN-GP,6L,rbf_x1,20,1985,0.0,0.8053625377643504,0.0,0.0005035246727089627
BOVESPA,42,CNN-WGAN-GP,6L,poly3,20,1985,0.0,0.9557653575025178,0.0,0.0005035246727089627
BOVESPA,42,CONTROL: shuffled real,6L,rbf_x1,20,1985,0.0,0.9864551863041289,0.0,0.0005035246727089627
BOVESPA,42,CONTROL: shuffled real,6L,poly3,20,1985,0.0,0.9883182275931519,0.0,0.0005035246727089627
BOVESPA,43,TimeGAN,6L,rbf_x1,20,1985,0.35,0.065281973816717,0.3,0.0005035246727089627
BOVESPA,43,TimeGAN,6L,poly3,20,1985,0.0,0.9034994964753276,0.0,0.0005035246727089627
BOVESPA,43,GARCH,6L,rbf_x1,20,1985,0.05,0.465332326283988,0.05,0.0005035246727089627
BOVESPA,43,GARCH,6L,poly3,20,1985,0.0,0.9287009063444109,0.0,0.0005035246727089627
BOVESPA,43,QuantGAN,6L,rbf_x1,20,1985,0.1,0.5308660624370594,0.1,0.0005035246727089627
BOVESPA,43,QuantGAN,6L,poly3,20,1985,0.0,0.9275427995971803,0.0,0.0005035246727089627
BOVESPA,43,GJR-GARCH,6L,rbf_x1,20,1985,0.05,0.506797583081571,0.05,0.0005035246727089627
BOVESPA,43,GJR-GARCH,6L,poly3,20,1985,0.0,0.933534743202417,0.0,0.0005035246727089627
BOVESPA,43,CNN-WGAN-GP,6L,rbf_x1,20,1985,0.0,0.6109768378650554,0.0,0.0005035246727089627
BOVESPA,43,CNN-WGAN-GP,6L,poly3,20,1985,0.0,0.9403575025176234,0.0,0.0005035246727089627
BOVESPA,43,CONTROL: shuffled real,6L,rbf_x1,20,1985,0.0,0.9758056394763344,0.0,0.0005035246727089627
BOVESPA,43,CONTROL: shuffled real,6L,poly3,20,1985,0.0,0.9923967774420946,0.0,0.0005035246727089627
BOVESPA,44,TimeGAN,6L,rbf_x1,20,1985,0.3,0.17109768378650553,0.3,0.0005035246727089627
BOVESPA,44,TimeGAN,6L,poly3,20,1985,0.0,0.9042799597180261,0.0,0.0005035246727089627
BOVESPA,44,GARCH,6L,rbf_x1,20,1985,0.0,0.4810926485397785,0.0,0.0005035246727089627
BOVESPA,44,GARCH,6L,poly3,20,1985,0.0,0.9277945619335348,0.0,0.0005035246727089627
BOVESPA,44,QuantGAN,6L,rbf_x1,20,1985,0.0,0.7710473313192346,0.0,0.0005035246727089627
BOVESPA,44,QuantGAN,6L,poly3,20,1985,0.0,0.95,0.0,0.0005035246727089627
BOVESPA,44,GJR-GARCH,6L,rbf_x1,20,1985,0.0,0.5739174219536758,0.0,0.0005035246727089627
BOVESPA,44,GJR-GARCH,6L,poly3,20,1985,0.0,0.935171198388721,0.0,0.0005035246727089627
BOVESPA,44,CNN-WGAN-GP,6L,rbf_x1,20,1985,0.0,0.7515609264853979,0.0,0.0005035246727089627
BOVESPA,44,CNN-WGAN-GP,6L,poly3,20,1985,0.0,0.9531722054380666,0.0,0.0005035246727089627
BOVESPA,44,CONTROL: shuffled real,6L,rbf_x1,20,1985,0.0,0.9670443101711983,0.0,0.0005035246727089627
BOVESPA,44,CONTROL: shuffled real,6L,poly3,20,1985,0.0,0.9797079556898287,0.0,0.0005035246727089627
BOVESPA,42,TimeGAN,all (existing null),rbf_x1,20,3962,0.2,0.2331062326520313,0.2,0.00025233409033560434
BOVESPA,42,TimeGAN,all (existing null),poly3,20,3962,0.0,0.9570148877113297,0.0,0.00025233409033560434
BOVESPA,42,GARCH,all (existing null),rbf_x1,20,3962,0.05,0.46064849861216245,0.05,0.00025233409033560434
BOVESPA,42,GARCH,all (existing null),poly3,20,3962,0.0,0.9666288165531164,0.0,0.00025233409033560434
BOVESPA,42,QuantGAN,all (existing null),rbf_x1,20,3962,0.1,0.48417865253595754,0.0,0.00025233409033560434
BOVESPA,42,QuantGAN,all (existing null),poly3,20,3962,0.0,0.9657961140550089,0.0,0.00025233409033560434
BOVESPA,42,GJR-GARCH,all (existing null),rbf_x1,20,3962,0.0,0.539212717638153,0.0,0.00025233409033560434
BOVESPA,42,GJR-GARCH,all (existing null),poly3,20,3962,0.0,0.9685844057532172,0.0,0.00025233409033560434
BOVESPA,42,CNN-WGAN-GP,all (existing null),rbf_x1,20,3962,0.0,0.81665404996215,0.0,0.00025233409033560434
BOVESPA,42,CNN-WGAN-GP,all (existing null),poly3,20,3962,0.0,0.9778324501640171,0.0,0.00025233409033560434
BOVESPA,42,CONTROL: shuffled real,all (existing null),rbf_x1,20,3962,0.0,0.9909790562705021,0.0,0.00025233409033560434
BOVESPA,42,CONTROL: shuffled real,all (existing null),poly3,20,3962,0.0,0.9941458491042141,0.0,0.00025233409033560434
BOVESPA,43,TimeGAN,all (existing null),rbf_x1,20,3962,0.75,0.0327151148120111,0.35,0.00025233409033560434
BOVESPA,43,TimeGAN,all (existing null),poly3,20,3962,0.0,0.9516401715871812,0.0,0.00025233409033560434
BOVESPA,43,GARCH,all (existing null),rbf_x1,20,3962,0.05,0.44558415341912694,0.05,0.00025233409033560434
BOVESPA,43,GARCH,all (existing null),poly3,20,3962,0.0,0.9642694928084785,0.0,0.00025233409033560434
BOVESPA,43,QuantGAN,all (existing null),rbf_x1,20,3962,0.1,0.5174110522331568,0.1,0.00025233409033560434
BOVESPA,43,QuantGAN,all (existing null),poly3,20,3962,0.0,0.9636891244007065,0.0,0.00025233409033560434
BOVESPA,43,GJR-GARCH,all (existing null),rbf_x1,20,3962,0.05,0.5017032551097654,0.05,0.00025233409033560434
BOVESPA,43,GJR-GARCH,all (existing null),poly3,20,3962,0.0,0.9666919000757002,0.0,0.00025233409033560434
BOVESPA,43,CNN-WGAN-GP,all (existing null),rbf_x1,20,3962,0.05,0.624640423921272,0.0,0.00025233409033560434
BOVESPA,43,CNN-WGAN-GP,all (existing null),poly3,20,3962,0.0,0.9701110269997478,0.0,0.00025233409033560434
BOVESPA,43,CONTROL: shuffled real,all (existing null),rbf_x1,20,3962,0.0,0.9801034569770376,0.0,0.00025233409033560434
BOVESPA,43,CONTROL: shuffled real,all (existing null),poly3,20,3962,0.0,0.9961897552359323,0.0,0.00025233409033560434
BOVESPA,44,TimeGAN,all (existing null),rbf_x1,20,3962,0.4,0.1355286399192531,0.3,0.00025233409033560434
BOVESPA,44,TimeGAN,all (existing null),poly3,20,3962,0.0,0.9520312894272017,0.0,0.00025233409033560434
BOVESPA,44,GARCH,all (existing null),rbf_x1,20,3962,0.0,0.46278072167549833,0.0,0.00025233409033560434
BOVESPA,44,GARCH,all (existing null),poly3,20,3962,0.0,0.9638152914458743,0.0,0.00025233409033560434
BOVESPA,44,QuantGAN,all (existing null),rbf_x1,20,3962,0.0,0.7666288165531162,0.0,0.00025233409033560434
BOVESPA,44,QuantGAN,all (existing null),poly3,20,3962,0.0,0.9749432248296745,0.0,0.00025233409033560434
BOVESPA,44,GJR-GARCH,all (existing null),rbf_x1,20,3962,0.0,0.5701741105223317,0.0,0.00025233409033560434
BOVESPA,44,GJR-GARCH,all (existing null),poly3,20,3962,0.0,0.9675119858692909,0.0,0.00025233409033560434
BOVESPA,44,CNN-WGAN-GP,all (existing null),rbf_x1,20,3962,0.05,0.7595003785011356,0.0,0.00025233409033560434
BOVESPA,44,CNN-WGAN-GP,all (existing null),poly3,20,3962,0.0,0.9765329295987886,0.0,0.00025233409033560434
BOVESPA,44,CONTROL: shuffled real,all (existing null),rbf_x1,20,3962,0.0,0.9743376230128689,0.0,0.00025233409033560434
BOVESPA,44,CONTROL: shuffled real,all (existing null),poly3,20,3962,0.0,0.9898309361594751,0.0,0.00025233409033560434
FTSE,42,TimeGAN,L (test block only),rbf_x1,20,0,,,,
FTSE,42,TimeGAN,L (test block only),poly3,20,0,,,,
FTSE,42,GARCH,L (test block only),rbf_x1,20,0,,,,
FTSE,42,GARCH,L (test block only),poly3,20,0,,,,
FTSE,42,QuantGAN,L (test block only),rbf_x1,20,0,,,,
FTSE,42,QuantGAN,L (test block only),poly3,20,0,,,,
FTSE,42,GJR-GARCH,L (test block only),rbf_x1,20,0,,,,
FTSE,42,GJR-GARCH,L (test block only),poly3,20,0,,,,
FTSE,42,CNN-WGAN-GP,L (test block only),rbf_x1,20,0,,,,
FTSE,42,CNN-WGAN-GP,L (test block only),poly3,20,0,,,,
FTSE,42,CONTROL: shuffled real,L (test block only),rbf_x1,20,0,,,,
FTSE,42,CONTROL: shuffled real,L (test block only),poly3,20,0,,,,
FTSE,43,TimeGAN,L (test block only),rbf_x1,20,0,,,,
FTSE,43,TimeGAN,L (test block only),poly3,20,0,,,,
FTSE,43,GARCH,L (test block only),rbf_x1,20,0,,,,
FTSE,43,GARCH,L (test block only),poly3,20,0,,,,
FTSE,43,QuantGAN,L (test block only),rbf_x1,20,0,,,,
FTSE,43,QuantGAN,L (test block only),poly3,20,0,,,,
FTSE,43,GJR-GARCH,L (test block only),rbf_x1,20,0,,,,
FTSE,43,GJR-GARCH,L (test block only),poly3,20,0,,,,
FTSE,43,CNN-WGAN-GP,L (test block only),rbf_x1,20,0,,,,
FTSE,43,CNN-WGAN-GP,L (test block only),poly3,20,0,,,,
FTSE,43,CONTROL: shuffled real,L (test block only),rbf_x1,20,0,,,,
FTSE,43,CONTROL: shuffled real,L (test block only),poly3,20,0,,,,
FTSE,44,TimeGAN,L (test block only),rbf_x1,20,0,,,,
FTSE,44,TimeGAN,L (test block only),poly3,20,0,,,,
FTSE,44,GARCH,L (test block only),rbf_x1,20,0,,,,
FTSE,44,GARCH,L (test block only),poly3,20,0,,,,
FTSE,44,QuantGAN,L (test block only),rbf_x1,20,0,,,,
FTSE,44,QuantGAN,L (test block only),poly3,20,0,,,,
FTSE,44,GJR-GARCH,L (test block only),rbf_x1,20,0,,,,
FTSE,44,GJR-GARCH,L (test block only),poly3,20,0,,,,
FTSE,44,CNN-WGAN-GP,L (test block only),rbf_x1,20,0,,,,
FTSE,44,CNN-WGAN-GP,L (test block only),poly3,20,0,,,,
FTSE,44,CONTROL: shuffled real,L (test block only),rbf_x1,20,0,,,,
FTSE,44,CONTROL: shuffled real,L (test block only),poly3,20,0,,,,
FTSE,42,TimeGAN,2L (valid+test),rbf_x1,20,1,0.0,0.625,0.75,0.5
FTSE,42,TimeGAN,2L (valid+test),poly3,20,1,0.0,0.625,0.75,0.5
FTSE,42,GARCH,2L (valid+test),rbf_x1,20,1,0.0,0.725,0.55,0.5
FTSE,42,GARCH,2L (valid+test),poly3,20,1,0.0,0.75,0.5,0.5
FTSE,42,QuantGAN,2L (valid+test),rbf_x1,20,1,0.0,0.75,0.5,0.5
FTSE,42,QuantGAN,2L (valid+test),poly3,20,1,0.0,0.75,0.5,0.5
FTSE,42,GJR-GARCH,2L (valid+test),rbf_x1,20,1,0.0,0.825,0.35,0.5
FTSE,42,GJR-GARCH,2L (valid+test),poly3,20,1,0.0,0.8,0.4,0.5
FTSE,42,CNN-WGAN-GP,2L (valid+test),rbf_x1,20,1,0.0,0.8,0.4,0.5
FTSE,42,CNN-WGAN-GP,2L (valid+test),poly3,20,1,0.0,0.775,0.45,0.5
FTSE,42,CONTROL: shuffled real,2L (valid+test),rbf_x1,20,1,0.0,0.625,0.75,0.5
FTSE,42,CONTROL: shuffled real,2L (valid+test),poly3,20,1,0.0,0.775,0.45,0.5
FTSE,43,TimeGAN,2L (valid+test),rbf_x1,20,1,0.0,0.5,1.0,0.5
FTSE,43,TimeGAN,2L (valid+test),poly3,20,1,0.0,0.5,1.0,0.5
FTSE,43,GARCH,2L (valid+test),rbf_x1,20,1,0.0,0.75,0.5,0.5
FTSE,43,GARCH,2L (valid+test),poly3,20,1,0.0,0.725,0.55,0.5
FTSE,43,QuantGAN,2L (valid+test),rbf_x1,20,1,0.0,0.675,0.65,0.5
FTSE,43,QuantGAN,2L (valid+test),poly3,20,1,0.0,0.625,0.75,0.5
FTSE,43,GJR-GARCH,2L (valid+test),rbf_x1,20,1,0.0,0.7,0.6,0.5
FTSE,43,GJR-GARCH,2L (valid+test),poly3,20,1,0.0,0.65,0.7,0.5
FTSE,43,CNN-WGAN-GP,2L (valid+test),rbf_x1,20,1,0.0,0.75,0.5,0.5
FTSE,43,CNN-WGAN-GP,2L (valid+test),poly3,20,1,0.0,0.825,0.35,0.5
FTSE,43,CONTROL: shuffled real,2L (valid+test),rbf_x1,20,1,0.0,0.575,0.85,0.5
