Date,Price,Open,High,Low,Vol.,Change %,LogReturn
2006-11-02,23527.62,"23,600.52","23,755.80","23,456.28",131.78M,-0.31%,-0.003093695534919289
2006-11-03,23590.57,"23,527.62","23,754.66","23,527.62",107.11M,0.27%,0.00267200575630023
2006-11-06,23950.99,"23,590.57","23,950.99","23,553.63",96.50M,1.53%,0.01516260321101313
2006-11-07,24022.61,"23,950.99","24,188.42","23,907.68",119.80M,0.30%,0.0029858110797642747
2006-11-08,23952.68,"24,022.61","24,022.61","23,792.71",126.51M,-0.29%,-0.0029152528114436194
2006-11-09,23684.67,"23,952.68","24,013.31","23,673.85",162.28M,-1.12%,-0.011252213978093995
2006-11-10,23819.21,"23,684.67","23,963.60","23,673.87",135.59M,0.57%,0.005664394560201556
2006-11-13,23566.96,"23,819.21","23,819.21","23,492.50",122.15M,-1.06%,-0.010646666854012662
2006-11-14,23674.39,"23,566.96","23,724.98","23,566.54",184.52M,0.46%,0.0045481420487659486
2006-11-15,23659.44,"23,674.39","23,747.87","23,528.23",142.82M,-0.06%,-0.0006316835336214005
2006-11-16,23436.27,"23,659.44","23,725.88","23,429.13",113.51M,-0.94%,-0.009477367277574483
2006-11-17,23188.8,"23,436.27","23,509.07","23,114.37",183.61M,-1.06%,-0.01061541886739136
2006-11-20,23603.55,"23,188.80","23,603.55","23,188.80",145.07M,1.79%,0.01772772096174835
2006-11-21,23792.06,"23,603.55","23,848.60","23,579.46",147.53M,0.80%,0.007954787122842262
2006-11-22,23899.11,"23,792.06","23,964.05","23,671.22",177.67M,0.45%,0.004489308179665664
2006-11-23,23858.28,"23,899.11","23,899.11","23,694.69",162.89M,-0.17%,-0.0017098928541950881
2006-11-24,23990.87,"23,858.28","24,007.18","23,761.57",138.01M,0.56%,0.005542014408326597
2006-11-27,23809.72,"23,990.87","24,067.41","23,790.12",119.61M,-0.76%,-0.0075794406396825055
2006-11-28,23564.36,"23,809.72","23,809.72","23,536.47",164.14M,-1.03%,-0.010358499580066483
2006-11-29,23691.74,"23,564.36","23,724.75","23,564.36",130.85M,0.54%,0.005391063101252853
2006-11-30,23949.95,"23,691.74","24,002.11","23,691.74",148.54M,1.09%,0.010839771986066235
2006-12-01,24070.92,"23,949.95","24,108.40","23,856.92",122.41M,0.51%,0.005038236745400334
2006-12-04,24073.2,"24,070.92","24,155.34","23,909.57",114.03M,0.01%,9.471561643281554e-05
2006-12-05,24191.44,"24,073.20","24,191.44","24,073.20",137.50M,0.49%,0.004899663047146036
2006-12-06,23946.47,"24,191.44","24,208.65","23,911.35",147.85M,-1.01%,-0.010177928983819159
2006-12-07,23856.59,"23,946.47","23,961.09","23,783.16",138.57M,-0.38%,-0.003760433156998744
2006-12-08,23760.59,"23,856.59","23,935.75","23,684.03",119.60M,-0.40%,-0.004032163604258414
2006-12-11,23703.51,"23,760.59","23,879.75","23,643.05",126.93M,-0.24%,-0.002405187394977112
2006-12-12,23555.11,"23,703.51","23,733.51","23,447.76",116.54M,-0.63%,-0.006280356378437575
2006-12-13,23711.17,"23,555.11","23,743.37","23,452.82",144.57M,0.66%,0.006603463064663862
2006-12-14,23965.91,"23,711.17","23,996.86","23,711.17",148.22M,1.07%,0.0106861588060121
2006-12-15,24149.06,"23,965.91","24,187.83","23,965.91",148.44M,0.76%,0.007613052012364623
2006-12-18,24137.27,"24,149.06","24,341.76","24,063.54",114.14M,-0.05%,-0.0004883369779521354
2006-12-19,24118.23,"24,137.27","24,145.27","23,954.05",129.28M,-0.08%,-0.0007891328859121795
2006-12-20,24447.02,"24,118.23","24,452.26","24,118.23",110.41M,1.36%,0.013540341020410402
2006-12-21,24825.0,"24,447.02","24,825.00","24,245.84",263.00M,1.55%,0.01534288282908863
2006-12-22,24631.33,"24,825.00","24,844.57","24,586.42",76.17M,-0.78%,-0.0078320000687112
2006-12-27,24932.27,"24,631.33","24,998.21","24,631.33",46.34M,1.22%,0.012143738481561495
2006-12-28,24985.81,"24,932.27","25,075.99","24,918.76",54.22M,0.21%,0.0021451153782535664
2006-12-29,24915.2,"24,985.81","24,985.81","24,891.15",27.02M,-0.28%,-0.00283000472839546
2007-01-02,25156.71,"24,915.20","25,208.65","24,915.20",44.28M,0.97%,0.009646601171995882
2007-01-03,24600.96,"25,156.71","25,156.71","24,600.96",80.57M,-2.21%,-0.02233919359881159
2007-01-04,24201.02,"24,600.96","24,600.96","24,178.62",104.99M,-1.63%,-0.016390685532391962
2007-01-05,24261.06,"24,201.02","24,372.29","24,011.62",75.17M,0.25%,0.0024778148489828012
2007-01-08,24412.47,"24,261.06","24,458.33","24,102.09",94.30M,0.62%,0.00622147143967399
2007-01-09,24603.61,"24,412.47","24,652.21","24,412.47",167.74M,0.78%,0.007799112815972956
2007-01-10,24535.63,"24,603.61","24,695.82","24,396.46",163.65M,-0.28%,-0.002766833323740677
2007-01-11,24677.47,"24,535.63","24,760.63","24,518.45",108.35M,0.58%,0.005764334811239018
2007-01-12,24908.87,"24,677.47","24,968.15","24,677.47",183.79M,0.94%,0.009333283310369153
2007-01-15,25194.73,"24,908.87","25,194.73","24,908.87",130.98M,1.15%,0.011410880725919064
2007-01-16,25155.45,"25,194.73","25,287.56","25,041.94",157.83M,-0.16%,-0.0015602727922231277
2007-01-17,24980.44,"25,155.45","25,204.42","24,849.39",162.12M,-0.70%,-0.00698145423735229
2007-01-18,25231.5,"24,980.44","25,261.95","24,980.44",162.52M,1.01%,0.010000095284231344
2007-01-19,24920.95,"25,231.50","25,231.50","24,789.29",146.49M,-1.23%,-0.012384398734812549
2007-01-22,25139.78,"24,920.95","25,267.77","24,920.95",133.58M,0.88%,0.008742636946383019
2007-01-23,25103.68,"25,139.78","25,139.78","24,951.93",145.24M,-0.14%,-0.0014370031925404945
2007-01-24,25444.28,"25,103.68","25,481.24","25,103.68",153.22M,1.36%,0.013476514378200202
2007-01-25,25572.39,"25,444.28","25,597.77","25,335.41",161.11M,0.50%,0.00502229052898682
2007-01-26,25377.29,"25,572.39","25,572.39","25,368.70",116.02M,-0.76%,-0.007658574248609251
2007-01-29,25341.81,"25,377.29","25,509.57","25,239.89",134.24M,-0.14%,-0.0013990786818946662
2007-01-30,25481.25,"25,341.81","25,548.87","25,244.79",134.99M,0.55%,0.005487286671903732
2007-01-31,25447.73,"25,481.25","25,654.05","25,385.50",170.67M,-0.13%,-0.0013163430659783519
2007-02-01,25782.38,"25,447.73","25,806.82","25,447.73",149.41M,1.32%,0.013064768358016971
2007-02-02,25679.19,"25,782.38","25,938.53","25,649.13",167.44M,-0.40%,-0.004010376609240594
2007-02-05,25605.18,"25,679.19","25,682.90","25,483.72",133.63M,-0.29%,-0.0028862615014432027
2007-02-06,25933.81,"25,605.18","25,933.81","25,589.57",141.56M,1.28%,0.012752848043261317
2007-02-07,25915.9,"25,933.81","26,041.90","25,896.57",202.89M,-0.07%,-0.0006908428499336207
2007-02-08,25596.86,"25,915.90","25,915.90","25,560.21",186.67M,-1.23%,-0.01238699224748515
2007-02-09,25666.81,"25,596.86","25,791.56","25,596.86",167.76M,0.27%,0.00272902987294201
2007-02-12,25820.61,"25,666.81","25,914.71","25,666.81",155.97M,0.60%,0.005974292650686551
2007-02-13,26023.35,"25,820.61","26,026.61","25,683.82",209.79M,0.79%,0.007821201678509618
2007-02-14,26311.42,"26,023.35","26,392.31","26,023.35",201.48M,1.11%,0.011008853554822229
2007-02-15,26521.1,"26,311.42","26,521.10","26,311.42",173.42M,0.80%,0.00793757711759696
2007-02-16,26511.08,"26,521.10","26,549.48","26,311.34",154.81M,-0.04%,-0.00037788377242763284
2007-02-19,26623.23,"26,511.08","26,721.59","26,483.16",125.40M,0.42%,0.004221384131777947
2007-02-20,26514.77,"26,623.23","26,760.31","26,514.77",119.97M,-0.41%,-0.004082206730342385
2007-02-21,26306.3,"26,514.77","26,564.86","26,292.11",164.31M,-0.79%,-0.007893481992252007
2007-02-22,26697.7,"26,306.30","26,697.70","26,306.30",163.80M,1.49%,0.014768965149706366
2007-02-23,26792.39,"26,697.70","26,808.90","26,575.67",182.49M,0.35%,0.0035404725963688135
2007-02-26,26932.15,"26,792.39","26,981.25","26,792.39",159.77M,0.52%,0.005202848280164717
2007-02-27,26078.3,"26,932.15","26,932.15","25,980.81",242.79M,-3.17%,-0.03221718936537703
2007-02-28,25795.99,"26,078.30","26,078.30","25,462.03",230.72M,-1.08%,-0.010884497393745207
2007-03-01,25336.58,"25,795.99","26,052.65","25,299.06",213.52M,-1.78%,-0.017969852189617865
2007-03-02,25561.12,"25,336.58","25,637.76","25,248.21",170.06M,0.89%,0.008823245714249884
2007-03-05,24919.46,"25,561.12","25,561.12","24,754.52",202.78M,-2.51%,-0.02542342267311201
2007-03-06,25228.11,"24,919.46","25,354.15","24,919.46",198.50M,1.24%,0.012309824683984293
2007-03-07,25280.4,"25,228.11","25,370.41","25,214.15",162.08M,0.21%,0.002070542911729101
2007-03-08,25616.63,"25,280.40","25,651.60","25,280.40",180.39M,1.33%,0.013212358017391105
2007-03-09,25923.48,"25,616.63","25,950.86","25,510.76",170.78M,1.20%,0.011907371775686348
2007-03-12,26012.12,"25,923.48","26,143.54","25,832.70",155.50M,0.34%,0.0034134615203194
2007-03-13,25853.05,"26,012.12","26,155.85","25,768.20",187.43M,-0.61%,-0.0061340008627458606
2007-03-14,25250.06,"25,853.05","25,853.05","25,073.12",201.36M,-2.33%,-0.02360005043276966
2007-03-15,25662.31,"25,250.06","25,798.36","25,250.06",287.97M,1.63%,0.01619484656215634
2007-03-16,25839.13,"25,662.31","25,869.54","25,522.48",161.93M,0.69%,0.006866631098620975
2007-03-19,26161.53,"25,839.13","26,203.91","25,839.13",147.30M,1.25%,0.012400001500330013
2007-03-20,26360.93,"26,161.53","26,390.44","26,161.53",175.37M,0.76%,0.007592978623055947
2007-03-22,26654.9,"26,360.93","26,895.65","26,360.93",224.51M,1.12%,0.011090008886011244
2007-03-23,26913.62,"26,654.90","26,913.62","26,583.06",138.30M,0.97%,0.009659479547481416
2007-03-26,26756.29,"26,913.62","27,152.65","26,701.48",157.72M,-0.58%,-0.005862892286014526
2007-03-27,26839.63,"26,756.29","26,995.72","26,756.29",119.28M,0.31%,0.0031099407257181434
2007-03-28,26829.8,"26,839.63","26,954.15","26,666.24",166.98M,-0.04%,-0.0003663165459340297
2007-03-29,27150.59,"26,829.80","27,150.59","26,829.80",151.11M,1.20%,0.011885567199620799
2007-03-30,27267.24,"27,150.59","27,276.28","27,101.32",200.38M,0.43%,0.004287204347179524
2007-04-02,27418.88,"27,267.24","27,567.74","27,124.57",129.05M,0.56%,0.005545845587809669
2007-04-03,27568.17,"27,418.88","27,688.96","27,418.88",159.34M,0.54%,0.005430019134291713
2007-04-04,27525.74,"27,568.17","27,681.58","27,406.20",134.56M,-0.15%,-0.0015402794388207827
2007-04-05,27547.85,"27,525.74","27,547.85","27,343.17",130.32M,0.08%,0.0008029257285693217
2007-04-10,27875.62,"27,547.85","27,875.62","27,547.85",121.54M,1.19%,0.011827979059150978
2007-04-11,27638.64,"27,875.62","27,923.15","27,638.64",149.30M,-0.85%,-0.008537678048584563
2007-04-12,27822.27,"27,638.64","27,822.27","27,602.18",142.20M,0.66%,0.00662198550383419
2007-04-13,28132.45,"27,822.27","28,132.45","27,822.27",225.93M,1.11%,0.011086935195959817
2007-04-16,28379.51,"28,132.45","28,427.17","28,132.45",205.56M,0.88%,0.008743691566180956
2007-04-17,28506.72,"28,379.51","28,522.74","28,274.84",181.12M,0.45%,0.004472443051533533
2007-04-18,28148.52,"28,506.72","28,513.46","28,066.17",180.48M,-1.26%,-0.012645071239214772
2007-04-19,28098.66,"28,148.52","28,148.52","27,805.70",143.78M,-0.18%,-0.0017728893451986
2007-04-20,28367.54,"28,098.66","28,432.84","28,098.66",159.73M,0.96%,0.009523645376440735
2007-04-23,28501.7,"28,367.54","28,501.70","28,313.96",128.58M,0.47%,0.00471820087212619
2007-04-24,28150.75,"28,501.70","28,636.10","28,147.26",172.15M,-1.23%,-0.012389737403678049
2007-04-25,28223.31,"28,150.75","28,360.80","28,024.56",170.06M,0.26%,0.0025742350318340166
2007-04-26,28076.19,"28,223.31","28,456.67","28,031.08",160.55M,-0.52%,-0.005226346055577321
2007-04-30,28170.6,"28,076.19","28,244.43","28,018.27",121.47M,0.34%,0.003356994724928914
2007-05-02,28328.12,"28,170.60","28,397.35","28,170.60",174.71M,0.56%,0.005576069976148465
2007-05-03,28278.23,"28,328.12","28,450.09","28,185.41",205.15M,-0.18%,-0.0017627002241909933
2007-05-04,28649.7,"28,278.23","28,651.21","28,278.23",208.97M,1.31%,0.013050721233797781
2007-05-07,28797.79,"28,649.70","28,854.61","28,649.70",96.45M,0.52%,0.005155676184686541
2007-05-08,28161.78,"28,797.79","28,797.79","28,140.85",148.12M,-2.21%,-0.02233290856699105
2007-05-09,28354.41,"28,161.78","28,496.78","28,161.78",139.48M,0.68%,0.00681683411237368
2007-05-10,28438.86,"28,354.41","28,527.17","28,354.41",147.14M,0.30%,0.0029739461116481776
2007-05-11,28671.48,"28,438.86","28,671.48","28,054.16",201.47M,0.82%,0.008146380723889674
2007-05-14,28094.8,"28,671.48","28,795.19","28,061.31",202.72M,-2.01%,-0.02031839463291596
2007-05-15,28059.27,"28,094.80","28,169.45","27,779.41",208.83M,-0.13%,-0.0012654471792106835
2007-05-16,28046.8,"28,059.27","28,279.71","28,008.12",214.61M,-0.04%,-0.00044451519079256223
2007-05-17,27884.36,"28,046.80","28,209.31","27,856.09",176.32M,-0.58%,-0.005808585293861721
2007-05-18,28331.45,"27,884.36","28,357.77","27,796.93",144.51M,1.60%,0.015906536854141288
2007-05-21,28642.4,"28,331.45","28,642.40","28,223.48",160.03M,1.10%,0.010915642439492215
2007-05-22,28629.38,"28,642.40","28,877.40","28,480.88",180.00M,-0.05%,-0.0004546741946662537
2007-05-23,29087.49,"28,629.38","29,087.49","28,629.38",194.47M,1.60%,0.015874721568533035
2007-05-24,28812.94,"29,087.49","29,126.96","28,750.29",177.82M,-0.94%,-0.009483593048124121
2007-05-25,28533.03,"28,812.94","28,812.94","28,409.06",177.78M,-0.97%,-0.00976222820798162
2007-05-28,28637.22,"28,533.03","28,767.34","28,533.03",91.56M,0.37%,0.003644906760071388
2007-05-29,28665.96,"28,637.22","28,867.68","28,614.73",143.32M,0.10%,0.001003085776733519
2007-05-30,28439.4,"28,665.96","28,665.96","28,274.72",215.62M,-0.79%,-0.007934848452681581
2007-05-31,28627.79,"28,439.40","28,770.23","28,439.40",201.62M,0.66%,0.006602416707607464
2007-06-01,28942.78,"28,627.79","28,996.32","28,627.79",195.19M,1.10%,0.010942853031585006
2007-06-04,28837.52,"28,942.78","29,108.58","28,810.73",182.33M,-0.36%,-0.003643460364246087
2007-06-05,28865.9,"28,837.52","29,036.17","28,739.67",219.51M,0.10%,0.0009836506151039346
2007-06-06,28538.84,"28,865.90","28,929.35","28,493.91",220.23M,-1.13%,-0.011395001142639537
2007-06-07,28554.32,"28,538.84","28,743.88","28,378.04",227.18M,0.05%,0.0005422716269107456
2007-06-08,28169.23,"28,554.32","28,554.32","27,881.62",220.63M,-1.35%,-0.013577990669011329
2007-06-11,28545.57,"28,169.23","28,545.57","28,169.23",147.81M,1.34%,0.013271510216299865
2007-06-12,28299.33,"28,545.57","28,672.51","28,230.17",161.66M,-0.86%,-0.008663628230414675
2007-06-13,28602.95,"28,299.33","28,602.95","28,097.33",164.43M,1.07%,0.010671729902406798
2007-06-14,28988.0,"28,602.95","28,995.54","28,602.95",227.42M,1.35%,0.01337209188735215
2007-06-15,29313.78,"28,988.00","29,364.69","28,942.69",222.25M,1.12%,0.011175761383469662
2007-06-18,29318.59,"29,313.78","29,568.10","29,242.46",145.28M,0.02%,0.00016407319065532558
2007-06-19,29243.19,"29,318.59","29,438.05","29,145.27",180.88M,-0.26%,-0.0025750597630180934
2007-06-20,29510.35,"29,243.19","29,633.26","29,243.19",178.77M,0.91%,0.009094323212681965
2007-06-21,29309.7,"29,510.35","29,714.33","29,160.08",243.74M,-0.68%,-0.006822530014939357
2007-06-22,29094.32,"29,309.70","29,359.65","29,041.28",122.71M,-0.73%,-0.007375553133726857
2007-06-25,28914.44,"29,094.32","29,094.32","28,739.48",100.13M,-0.62%,-0.006201841810017332
2007-06-26,28746.43,"28,914.44","28,914.44","28,636.48",134.24M,-0.58%,-0.005827538692042991
2007-06-27,28285.1,"28,746.43","28,746.43","28,128.72",210.42M,-1.60%,-0.01617842138841381
2007-06-28,28402.79,"28,285.10","28,537.25","28,178.27",168.06M,0.42%,0.004152215546919073
2007-06-29,28337.22,"28,402.79","28,522.24","28,044.31",195.07M,-0.23%,-0.0023112448936392707
2007-07-02,28703.13,"28,337.22","28,703.13","28,149.21",135.04M,1.29%,0.012830041167535753
2007-07-03,28755.03,"28,703.13","28,914.99","28,703.13",208.85M,0.18%,0.001806532409492197
2007-07-04,28844.31,"28,755.03","28,894.43","28,755.03",174.46M,0.31%,0.003100038003912773
2007-07-05,28896.36,"28,844.31","29,085.72","28,844.31",184.71M,0.18%,0.0018028891628258422
2007-07-06,29218.33,"28,896.36","29,218.33","28,855.79",147.47M,1.11%,0.01108061642536847
2007-07-09,29714.16,"29,218.33","29,731.93","29,218.33",172.17M,1.70%,0.01682744781372614
2007-07-10,29450.59,"29,714.16","29,821.95","29,425.24",200.91M,-0.89%,-0.008909756015048126
2007-07-11,29643.36,"29,450.59","29,643.36","29,234.80",213.12M,0.65%,0.006524210474200809
2007-07-12,29791.27,"29,643.36","29,872.82","29,620.96",202.00M,0.50%,0.004977243245129224
2007-07-13,29961.73,"29,791.27","30,023.69","29,791.27",181.97M,0.57%,0.005705503068022616
2007-07-16,29868.22,"29,961.73","29,967.86","29,633.29",148.44M,-0.31%,-0.003125861751199633
2007-07-17,29606.22,"29,868.22","29,868.22","29,508.25",177.89M,-0.88%,-0.008810564499074308
2007-07-18,29422.66,"29,606.22","29,606.22","29,353.68",167.61M,-0.62%,-0.006219348619836075
2007-07-19,29621.28,"29,422.66","29,652.94","29,422.66",171.58M,0.68%,0.006727896180498435
2007-07-20,29692.04,"29,621.28","29,876.17","29,621.28",164.26M,0.24%,0.0023859744680952005
2007-07-23,29885.27,"29,692.04","29,885.27","29,392.31",156.30M,0.65%,0.006486720449552027
2007-07-24,29590.81,"29,885.27","30,041.90","29,429.73",162.03M,-0.99%,-0.009901876717834223
2007-07-25,29105.27,"29,590.81","29,590.81","29,076.33",144.59M,-1.64%,-0.01654458271308904
2007-07-26,28585.84,"29,105.27","29,183.88","28,503.60",197.21M,-1.78%,-0.018007767111437433
2007-07-27,27714.45,"28,585.84","28,585.84","27,714.45",244.56M,-3.05%,-0.030957552500306743
2007-07-30,28156.23,"27,714.45","28,156.23","27,714.45",186.12M,1.59%,0.01581470666099763
2007-07-31,28561.81,"28,156.23","28,719.55","28,156.23",192.73M,1.44%,0.014301866326896619
2007-08-01,27820.11,"28,561.81","28,561.81","27,575.76",218.90M,-2.60%,-0.02631137033597592
2007-08-02,27859.23,"27,820.11","28,124.79","27,820.11",208.63M,0.14%,0.0014051893013477547
2007-08-03,27582.01,"27,859.23","28,165.40","27,553.07",180.70M,-1.00%,-0.010000581171393219
2007-08-06,26904.48,"27,582.01","27,582.01","26,904.48",185.04M,-2.46%,-0.02487093311535141
2007-08-07,27312.07,"26,904.48","27,320.85","26,904.48",178.88M,1.51%,0.015035913532763137
2007-08-08,28208.95,"27,312.07","28,208.95","27,312.07",209.86M,3.28%,0.032310574452738
2007-08-10,27076.3,"28,208.95","28,208.95","26,877.60",185.61M,-4.02%,-0.04098049696936127
2007-08-13,27752.71,"27,076.30","27,843.57","27,076.30",154.65M,2.50%,0.024674686573744
2007-08-14,27369.72,"27,752.71","27,901.87","27,369.72",166.45M,-1.38%,-0.013896200260671525
2007-08-15,27091.13,"27,369.72","27,369.72","26,714.20",188.66M,-1.02%,-0.010230924785027526
2007-08-16,25991.8,"27,091.13","27,091.13","25,820.31",245.43M,-4.06%,-0.04142526437429316
2007-08-17,25984.85,"25,991.80","26,807.47","25,427.84",276.05M,-0.03%,-0.00026742777925937544
2007-08-20,26640.18,"25,984.85","26,840.57","25,984.85",158.50M,2.52%,0.02490692652346749
2007-08-21,26538.95,"26,640.18","26,796.02","26,383.88",174.71M,-0.38%,-0.003807137208578469
2007-08-22,27241.12,"26,538.95","27,241.12","26,538.95",165.17M,2.65%,0.026114131244405557
2007-08-23,27468.07,"27,241.12","27,813.70","27,241.12",192.79M,0.83%,0.008296642733216895
2007-08-24,27417.93,"27,468.07","27,500.33","27,101.23",155.31M,-0.18%,-0.0018270602320409244
2007-08-27,27820.58,"27,417.93","27,958.25","27,417.93",110.09M,1.47%,0.01457885564542031
2007-08-28,27479.54,"27,820.58","27,832.44","27,479.54",138.74M,-1.23%,-0.012334306821369748
2007-08-29,27600.96,"27,479.54","27,637.50","27,108.54",147.73M,0.44%,0.004408826959726933
2007-08-30,27909.94,"27,600.96","27,960.11","27,600.96",157.77M,1.12%,0.011132343051912397
2007-08-31,28660.35,"27,909.94","28,695.04","27,909.94",207.87M,2.69%,0.026531736689005315
2007-09-03,28887.48,"28,660.35","28,945.50","28,616.48",154.10M,0.79%,0.007893648791464647
2007-09-04,29051.96,"28,887.48","29,063.68","28,659.23",155.35M,0.57%,0.005677667642166744
2007-09-05,28696.67,"29,051.96","29,127.76","28,587.09",153.26M,-1.22%,-0.012304862742192012
2007-09-06,28850.19,"28,696.67","29,010.18","28,548.55",169.08M,0.53%,0.005335490561727511
2007-09-07,28311.77,"28,850.19","29,037.81","28,311.77",165.35M,-1.87%,-0.018838959474594612
2007-09-10,28240.7,"28,311.77","28,530.17","28,191.14",123.19M,-0.25%,-0.002513419393142977
2007-09-11,28858.14,"28,240.70","28,873.10","28,240.70",168.36M,2.19%,0.021627902351099307
2007-09-12,28730.17,"28,858.14","29,018.11","28,611.10",156.52M,-0.44%,-0.004444312070890385
2007-09-13,29086.37,"28,730.17","29,121.16","28,729.08",236.13M,1.24%,0.012321889437804745
2007-09-14,28928.05,"29,086.37","29,203.61","28,634.41",199.84M,-0.54%,-0.005457966933784027
2007-09-17,28536.42,"28,928.05","28,928.05","28,460.42",161.98M,-1.35%,-0.013630546438567037
2007-09-18,28766.34,"28,536.42","28,886.23","28,344.27",185.06M,0.81%,0.008024787422081694
2007-09-19,29808.65,"28,766.34","29,808.65","28,766.34",235.46M,3.62%,0.03559266622700641
2007-09-20,29832.3,"29,808.65","29,945.02","29,629.64",240.87M,0.08%,0.0007930792933245221
2007-09-21,29709.35,"29,832.30","29,978.61","29,686.23",157.44M,-0.41%,-0.004129888061638634
2007-09-25,29776.03,"29,709.35","30,046.29","29,557.32",180.02M,0.22%,0.002241896342541932
2007-09-26,29812.38,"29,776.03","30,007.18","29,669.14",184.27M,0.12%,0.0012200360610017393
2007-09-27,29944.31,"29,812.38","30,177.60","29,800.20",234.92M,0.44%,0.004415579723608713
2007-09-28,29959.19,"29,944.31","30,204.38","29,924.77",202.65M,0.05%,0.000496799028639064
2007-10-01,30167.52,"29,959.19","30,257.34","29,959.19",152.25M,0.70%,0.006929726695036384
