TimeStep,Real,Synthetic
321,0.37829828,0.6035208
322,0.36416873,0.60516006
323,0.39436722,0.60912806
324,0.38647765,0.61244565
325,0.3671438,0.6138336
326,0.36045647,0.61544114
327,0.36709988,0.6154489
328,0.3491879,0.6194035
329,0.3637562,0.62342197
330,0.37122467,0.6268003
331,0.36784586,0.629836
332,0.3641599,0.6330227
333,0.36584488,0.63374704
334,0.3547782,0.63538176
335,0.3487139,0.63840866
336,0.33167076,0.6430133
337,0.3354357,0.6442072
338,0.33769986,0.64589584
339,0.3478539,0.65138143
340,0.32866925,0.6513949
341,0.33009094,0.65429586
342,0.31086257,0.6572793
343,0.30758902,0.65886015
344,0.32787067,0.6613359
345,0.3251501,0.6642477
346,0.31989312,0.66642994
347,0.32164842,0.6674391
348,0.34084177,0.67181295
349,0.35415518,0.6737699
350,0.37592873,0.67576474
351,0.37718368,0.67892087
352,0.37901795,0.6808023
353,0.3715757,0.6830742
354,0.39813206,0.6851112
355,0.39883423,0.6855573
356,0.41686916,0.6905918
357,0.4235917,0.6930225
358,0.4449529,0.69191194
359,0.44638336,0.6955198
360,0.4406965,0.6992827
361,0.43736956,0.7010364
362,0.43971348,0.70298594
363,0.45376706,0.7040873
364,0.4605613,0.70713043
