mean,sd,p97_5,mean_plus_1_96sd,frac_lt_0_5,p2_5,n,market,length,scheme,null,L,independent_blocks,nan
0.7056976866301081,0.07797030590647505,0.8686799179374285,0.8585194862067992,0.0025025025025025025,0.5400359303407789,3996,FTSE,track_a,shuffled,full-series sliding,501,4.987025948103793,0
0.697138336286512,0.07728423747083676,0.8731807468409937,0.8486154417293521,0.006666666666666667,0.5625776607692583,300,FTSE,track_a,shuffled,stationary GARCH-t,501,,0
0.535000914944325,0.18582582993866575,0.8268754003252159,0.8992195416241099,0.47960407918416315,0.2343381087164066,3334,FTSE,walk_forward,contiguous,full-series sliding,832,3.0030048076923075,0
0.5270941895298145,0.1372935166930085,0.7826470964324419,0.796189482248111,0.4066666666666667,0.25568276079230035,300,FTSE,walk_forward,contiguous,stationary GARCH-t,832,,0
0.525087929345384,0.1909079163853059,0.8252189691269192,0.8992674454605836,0.517996400719856,0.22259632350672265,3334,FTSE,walk_forward,purged,full-series sliding,832,3.0030048076923075,0
0.5166726514020227,0.1392036194189333,0.7843645605703154,0.789511745463132,0.44666666666666666,0.2421916151678958,300,FTSE,walk_forward,purged,stationary GARCH-t,832,,0
0.665703085247723,0.09882633025810181,0.8436394997208828,0.8594026925536026,0.004499100179964007,0.5260621510449832,3334,FTSE,walk_forward,shuffled,full-series sliding,832,3.0030048076923075,0
0.6521227014124799,0.07099262806956132,0.8080995445760082,0.79126825242882,0.0033333333333333335,0.5303920709191607,300,FTSE,walk_forward,shuffled,stationary GARCH-t,832,,0
0.6251814198086149,0.1728797049414955,0.8762033420138889,0.964025641493946,0.26633291614518145,0.2710959201388889,3995,MOEX,track_a,contiguous,full-series sliding,500,4.994,0
0.5688394097222221,0.17502911758916825,0.9105740017361109,0.911896480196992,0.38333333333333336,0.21380208333333336,300,MOEX,track_a,contiguous,stationary GARCH-t,500,,0
0.6097570422229176,0.18450848546796864,0.8776204427083333,0.9713936737401361,0.2846057571964956,0.2617458767361111,3995,MOEX,track_a,purged,full-series sliding,500,4.994,0
0.5428621961805555,0.18704424042843198,0.9084125434027777,0.9094689074202822,0.44333333333333336,0.18322862413194443,300,MOEX,track_a,purged,stationary GARCH-t,500,,0
0.732716394625226,0.08162231035129876,0.9071723090277779,0.8926961229137715,0.0,0.5745594618055556,3995,MOEX,track_a,shuffled,full-series sliding,500,4.994,0
0.7085375795717593,0.0882500449277484,0.9051166449652777,0.8815076676301462,0.0,0.5788064236111111,300,MOEX,track_a,shuffled,stationary GARCH-t,500,,0
0.6017028997014481,0.1651254497278135,0.8464904160390037,0.9253487811679626,0.2891023716601621,0.262744075654336,3331,MOEX,walk_forward,contiguous,full-series sliding,832,3.001201923076923,0
0.5399104426322862,0.14566668637262806,0.8388639950890324,0.8254171479226371,0.4,0.2645881617814133,300,MOEX,walk_forward,contiguous,stationary GARCH-t,832,,0
0.5889699377517057,0.17235031115424704,0.8465956577395898,0.9267765476140299,0.33533473431401983,0.25162992557808134,3331,MOEX,walk_forward,purged,full-series sliding,832,3.001201923076923,0
0.5283500360312176,0.149750018663513,0.8386419297241647,0.821860072611703,0.43,0.2441739905726626,300,MOEX,walk_forward,purged,stationary GARCH-t,832,,0
0.7042360619582027,0.08506519352735642,0.8542771564262893,0.8709638412718212,0.0,0.5712055831867617,3331,MOEX,walk_forward,shuffled,full-series sliding,832,3.001201923076923,0
0.6644201608532042,0.07763628189705203,0.8515288846623895,0.8165872733714262,0.006666666666666667,0.5289889959072153,300,MOEX,walk_forward,shuffled,stationary GARCH-t,832,,0
0.6378665152662124,0.17006558968909344,0.9063799284395198,0.9711950710568356,0.20893262679788038,0.24061649353647277,3963,NIFTY50,track_a,contiguous,full-series sliding,496,4.993951612903226,0
0.573133405663281,0.16981732011699782,0.9137126615881808,0.9059753530925967,0.35,0.24576570867959371,300,NIFTY50,track_a,contiguous,stationary GARCH-t,496,,0
0.6205666212966244,0.17902761528063846,0.904158506463527,0.9714607472466759,0.2561191016906384,0.231143986611265,3963,NIFTY50,track_a,purged,full-series sliding,496,4.993951612903226,0
0.5496243713450292,0.18020362583168123,0.9112277873961216,0.9028234779751243,0.4066666666666667,0.2326916435826408,300,NIFTY50,track_a,purged,stationary GARCH-t,496,,0
0.745453741371304,0.09604866044788406,0.9383777469990767,0.9337091158491568,0.0025233409033560434,0.577731959833795,3963,NIFTY50,track_a,shuffled,full-series sliding,496,4.993951612903226,0
0.7098909795321638,0.08733033054873153,0.9022923303324093,0.8810584274076776,0.0033333333333333335,0.5471129645660203,300,NIFTY50,track_a,shuffled,stationary GARCH-t,496,,0
0.6630263874622887,0.13570910117780804,0.852059719918213,0.9290162257707925,0.10075642965204236,0.26254079703715133,3305,NIFTY50,walk_forward,contiguous,full-series sliding,825,3.0024242424242424,0
0.5502331185782441,0.14045324377445922,0.8224017206126298,0.8255214763761842,0.34,0.27155472396898267,300,NIFTY50,walk_forward,contiguous,stationary GARCH-t,825,,0
0.6521647755390361,0.14478419184197486,0.8550457158288647,0.9359417915493068,0.13373676248108926,0.24370510396975428,3305,NIFTY50,walk_forward,purged,full-series sliding,825,3.0024242424242424,0
0.537305505188843,0.1438120785587281,0.822276532541182,0.8191771791639502,0.39,0.2688582616411404,300,NIFTY50,walk_forward,purged,stationary GARCH-t,825,,0
0.737664412776141,0.07020583025278936,0.8548389336831141,0.8752678400716082,0.009984871406959153,0.5558890474904518,3305,NIFTY50,walk_forward,shuffled,full-series sliding,825,3.0024242424242424,0
0.6690172061263068,0.07550052699522118,0.8440970641564752,0.8169982390369404,0.0,0.5408209559816366,300,NIFTY50,walk_forward,shuffled,stationary GARCH-t,825,,0
0.6931884248350821,0.1568575350846694,0.9755376959087632,1.000629193601034,0.08331190537413216,0.4242884308356888,3889,SHANGHAI,track_a,contiguous,full-series sliding,486,5.0,0
0.7043494750756247,0.22516880046045148,1.0,1.1456803239781097,0.19666666666666666,0.22727377780729788,300,SHANGHAI,track_a,contiguous,stationary GARCH-t,486,,0
0.6748026221039808,0.16775770453885205,0.9749128050715493,1.0036077230001308,0.14862432501928516,0.34936268613023763,3889,SHANGHAI,track_a,purged,full-series sliding,486,5.0,0
0.685126741582063,0.2397590671734682,1.0,1.1550545132420607,0.24333333333333335,0.2179847012199172,300,SHANGHAI,track_a,purged,stationary GARCH-t,486,,0
0.7725662036456957,0.1059719439092293,0.9675563525976438,0.9802712137077851,0.0,0.6096532128914177,3889,SHANGHAI,track_a,shuffled,full-series sliding,486,5.0,0
0.8005042791812115,0.13103632683003116,1.0,1.0573354797680725,0.006666666666666667,0.5646369153487183,300,SHANGHAI,track_a,shuffled,stationary GARCH-t,486,,0
0.6626849395619665,0.14444553702101995,0.9500480692196763,0.9457981921231655,0.12372724467756865,0.4249238904021791,3241,SHANGHAI,walk_forward,contiguous,full-series sliding,810,3.0,0
0.6476948005127384,0.1989608823141451,0.9932851305880468,1.0376581298484628,0.23333333333333334,0.2444700368530684,300,SHANGHAI,walk_forward,contiguous,stationary GARCH-t,810,,0
0.6382969309807975,0.1611957517597008,0.9502243230251564,0.9542406044298111,0.171860536871336,0.33005928537093415,3241,SHANGHAI,walk_forward,purged,full-series sliding,810,3.0,0
0.6337230945895423,0.2087890121558233,0.990129786893126,1.042949558414956,0.26,0.2246360759493671,300,SHANGHAI,walk_forward,purged,stationary GARCH-t,810,,0
0.7582855158388895,0.09273741792049393,0.946130427816055,0.9400508549630576,0.0,0.6191395609677937,3241,SHANGHAI,walk_forward,shuffled,full-series sliding,810,3.0,0
0.7476075682315868,0.11828807233488987,0.987784609838167,0.9794521900079709,0.0033333333333333335,0.5457054157987502,300,SHANGHAI,walk_forward,shuffled,stationary GARCH-t,810,,0
