frame,scenario,market,seed,model,fidelity,temporal,composite,composite_6pool,fidelity_6pool,temporal_6pool
P,S1,BOVESPA,43,QuantGAN,3.4285714285714284,3.4285714285714284,3.4285714285714284,4.2857142857142865,4.428571428571429,4.142857142857143
P,S1,BOVESPA,43,GARCH,3.4285714285714284,3.5714285714285716,3.5,4.357142857142858,4.428571428571429,4.285714285714286
P,S1,BOVESPA,43,TimeGAN,4.714285714285714,4.142857142857143,4.428571428571429,5.428571428571429,5.714285714285714,5.142857142857143
P,S1,BOVESPA,43,CONTROL: shuffled real,,,,1.7142857142857142,1.0,2.4285714285714284
P,S0,BOVESPA,44,CNN-WGAN-GP,2.4285714285714284,2.5714285714285716,2.5,3.2857142857142856,3.4285714285714284,3.142857142857143
P,S0,BOVESPA,44,GJR-GARCH,2.7142857142857144,2.4285714285714284,2.571428571428571,3.5,3.7142857142857144,3.2857142857142856
P,S0,BOVESPA,44,QuantGAN,3.142857142857143,2.857142857142857,3.0,3.8571428571428577,4.142857142857143,3.5714285714285716
P,S0,BOVESPA,44,GARCH,3.7142857142857144,2.7142857142857144,3.2142857142857144,4.0,4.714285714285714,3.2857142857142856
P,S0,BOVESPA,44,TimeGAN,3.0,4.428571428571429,3.7142857142857144,4.642857142857142,4.0,5.285714285714286
P,S0,BOVESPA,44,CONTROL: shuffled real,,,,1.7142857142857142,1.0,2.4285714285714284
P,S1,BOVESPA,44,CNN-WGAN-GP,2.4285714285714284,2.5714285714285716,2.5,3.2857142857142856,3.4285714285714284,3.142857142857143
P,S1,BOVESPA,44,GJR-GARCH,2.7142857142857144,2.4285714285714284,2.571428571428571,3.5,3.7142857142857144,3.2857142857142856
P,S1,BOVESPA,44,QuantGAN,3.142857142857143,2.857142857142857,3.0,3.8571428571428577,4.142857142857143,3.5714285714285716
P,S1,BOVESPA,44,GARCH,3.7142857142857144,2.7142857142857144,3.2142857142857144,4.0,4.714285714285714,3.2857142857142856
P,S1,BOVESPA,44,TimeGAN,3.0,4.428571428571429,3.7142857142857144,4.642857142857142,4.0,5.285714285714286
P,S1,BOVESPA,44,CONTROL: shuffled real,,,,1.7142857142857142,1.0,2.4285714285714284
P,S0,FTSE,42,QuantGAN,1.7142857142857142,2.7142857142857144,2.2142857142857144,2.857142857142857,2.7142857142857144,3.0
P,S0,FTSE,42,CNN-WGAN-GP,2.0714285714285716,2.5714285714285716,2.3214285714285716,2.857142857142857,3.0,2.7142857142857144
P,S0,FTSE,42,GARCH,3.5,2.7142857142857144,3.107142857142857,3.7142857142857144,4.428571428571429,3.0
P,S0,FTSE,42,GJR-GARCH,4.285714285714286,2.857142857142857,3.571428571428571,4.214285714285714,5.285714285714286,3.142857142857143
P,S0,FTSE,42,TimeGAN,3.4285714285714284,4.142857142857143,3.7857142857142856,4.714285714285714,4.428571428571429,5.0
P,S0,FTSE,42,CONTROL: shuffled real,,,,2.6428571428571432,1.1428571428571428,4.142857142857143
P,S1,FTSE,42,QuantGAN,1.7142857142857142,2.2857142857142856,2.0,2.571428571428571,2.7142857142857144,2.4285714285714284
P,S1,FTSE,42,CNN-WGAN-GP,2.0714285714285716,2.4285714285714284,2.25,2.7857142857142856,3.0,2.5714285714285716
P,S1,FTSE,42,GARCH,3.5,2.7142857142857144,3.107142857142857,3.6428571428571432,4.428571428571429,2.857142857142857
P,S1,FTSE,42,GJR-GARCH,4.285714285714286,3.142857142857143,3.7142857142857144,4.428571428571429,5.285714285714286,3.5714285714285716
P,S1,FTSE,42,TimeGAN,3.4285714285714284,4.428571428571429,3.928571428571429,4.857142857142858,4.428571428571429,5.285714285714286
P,S1,FTSE,42,CONTROL: shuffled real,,,,2.7142857142857144,1.1428571428571428,4.285714285714286
P,S0,FTSE,43,GARCH,1.4285714285714286,3.0,2.2142857142857144,2.75,2.357142857142857,3.142857142857143
P,S0,FTSE,43,GJR-GARCH,2.7142857142857144,2.0,2.357142857142857,2.928571428571429,3.7142857142857144,2.142857142857143
P,S0,FTSE,43,CNN-WGAN-GP,2.0,3.0,2.5,3.142857142857143,3.0,3.2857142857142856
P,S0,FTSE,43,QuantGAN,3.857142857142857,2.7142857142857144,3.2857142857142856,3.9285714285714284,4.857142857142857,3.0
P,S0,FTSE,43,TimeGAN,5.0,4.285714285714286,4.642857142857142,5.428571428571429,6.0,4.857142857142857
P,S0,FTSE,43,CONTROL: shuffled real,,,,2.821428571428571,1.0714285714285714,4.571428571428571
P,S1,FTSE,43,GARCH,1.4285714285714286,2.7142857142857144,2.0714285714285716,2.5357142857142856,2.357142857142857,2.7142857142857144
P,S1,FTSE,43,GJR-GARCH,2.7142857142857144,1.7142857142857142,2.2142857142857144,2.7857142857142856,3.7142857142857144,1.8571428571428572
P,S1,FTSE,43,CNN-WGAN-GP,2.0,2.7142857142857144,2.357142857142857,2.928571428571429,3.0,2.857142857142857
P,S1,FTSE,43,QuantGAN,3.857142857142857,3.142857142857143,3.5,4.214285714285714,4.857142857142857,3.5714285714285716
P,S1,FTSE,43,TimeGAN,5.0,4.714285714285714,4.857142857142858,5.642857142857142,6.0,5.285714285714286
P,S1,FTSE,43,CONTROL: shuffled real,,,,2.892857142857143,1.0714285714285714,4.714285714285714
P,S0,FTSE,44,TimeGAN,2.2857142857142856,2.2857142857142856,2.2857142857142856,2.928571428571429,3.2857142857142856,2.5714285714285716
P,S0,FTSE,44,GJR-GARCH,2.2857142857142856,2.5714285714285716,2.428571428571429,3.071428571428571,3.2857142857142856,2.857142857142857
P,S0,FTSE,44,QuantGAN,2.7857142857142856,3.5714285714285716,3.178571428571429,3.821428571428571,3.7857142857142856,3.857142857142857
P,S0,FTSE,44,CNN-WGAN-GP,3.142857142857143,3.7142857142857144,3.428571428571429,4.035714285714286,4.071428571428571,4.0
P,S0,FTSE,44,GARCH,4.5,2.857142857142857,3.678571428571429,4.321428571428571,5.5,3.142857142857143
P,S0,FTSE,44,CONTROL: shuffled real,,,,2.821428571428571,1.0714285714285714,4.571428571428571
P,S1,FTSE,44,TimeGAN,2.2857142857142856,2.0,2.142857142857143,2.7142857142857144,3.2857142857142856,2.142857142857143
P,S1,FTSE,44,GJR-GARCH,2.2857142857142856,2.4285714285714284,2.3571428571428568,3.0,3.2857142857142856,2.7142857142857144
P,S1,FTSE,44,QuantGAN,2.7857142857142856,3.4285714285714284,3.1071428571428568,3.678571428571429,3.7857142857142856,3.5714285714285716
P,S1,FTSE,44,CNN-WGAN-GP,3.142857142857143,3.7142857142857144,3.428571428571429,3.9642857142857144,4.071428571428571,3.857142857142857
P,S1,FTSE,44,GARCH,4.5,3.4285714285714284,3.9642857142857144,4.678571428571429,5.5,3.857142857142857
P,S1,FTSE,44,CONTROL: shuffled real,,,,2.964285714285714,1.0714285714285714,4.857142857142857
P,S0,MOEX,42,TimeGAN,2.4285714285714284,2.4285714285714284,2.4285714285714284,3.071428571428571,3.4285714285714284,2.7142857142857144
P,S0,MOEX,42,QuantGAN,2.2857142857142856,2.7142857142857144,2.5,3.142857142857143,3.2857142857142856,3.0
P,S0,MOEX,42,CNN-WGAN-GP,2.4285714285714284,3.2857142857142856,2.8571428571428568,3.571428571428571,3.4285714285714284,3.7142857142857144
P,S0,MOEX,42,GJR-GARCH,3.7142857142857144,2.4285714285714284,3.071428571428571,3.7142857142857144,4.714285714285714,2.7142857142857144
P,S0,MOEX,42,GARCH,4.142857142857143,4.142857142857143,4.142857142857143,5.0,5.142857142857143,4.857142857142857
P,S0,MOEX,42,CONTROL: shuffled real,,,,2.5,1.0,4.0
P,S1,MOEX,42,TimeGAN,2.4285714285714284,2.4285714285714284,2.4285714285714284,3.071428571428571,3.4285714285714284,2.7142857142857144
P,S1,MOEX,42,QuantGAN,2.2857142857142856,2.7142857142857144,2.5,3.142857142857143,3.2857142857142856,3.0
P,S1,MOEX,42,CNN-WGAN-GP,2.4285714285714284,3.2857142857142856,2.8571428571428568,3.571428571428571,3.4285714285714284,3.7142857142857144
P,S1,MOEX,42,GJR-GARCH,3.7142857142857144,2.4285714285714284,3.071428571428571,3.7142857142857144,4.714285714285714,2.7142857142857144
P,S1,MOEX,42,GARCH,4.142857142857143,4.142857142857143,4.142857142857143,5.0,5.142857142857143,4.857142857142857
P,S1,MOEX,42,CONTROL: shuffled real,,,,2.5,1.0,4.0
P,S0,MOEX,43,CNN-WGAN-GP,1.1428571428571428,2.4285714285714284,1.7857142857142856,2.428571428571429,2.142857142857143,2.7142857142857144
P,S0,MOEX,43,GARCH,2.9285714285714284,2.2857142857142856,2.6071428571428568,3.321428571428571,3.9285714285714284,2.7142857142857144
P,S0,MOEX,43,GJR-GARCH,3.5,1.7142857142857142,2.607142857142857,3.25,4.5,2.0
P,S0,MOEX,43,TimeGAN,3.4285714285714284,4.428571428571429,3.928571428571429,4.7857142857142865,4.428571428571429,5.142857142857143
P,S0,MOEX,43,QuantGAN,4.0,4.142857142857143,4.071428571428571,4.785714285714286,5.0,4.571428571428571
P,S0,MOEX,43,CONTROL: shuffled real,,,,2.428571428571429,1.0,3.857142857142857
P,S1,MOEX,43,CNN-WGAN-GP,1.1428571428571428,2.4285714285714284,1.7857142857142856,2.428571428571429,2.142857142857143,2.7142857142857144
P,S1,MOEX,43,GARCH,2.9285714285714284,2.2857142857142856,2.6071428571428568,3.321428571428571,3.9285714285714284,2.7142857142857144
P,S1,MOEX,43,GJR-GARCH,3.5,1.7142857142857142,2.607142857142857,3.25,4.5,2.0
P,S1,MOEX,43,TimeGAN,3.4285714285714284,4.428571428571429,3.928571428571429,4.7857142857142865,4.428571428571429,5.142857142857143
P,S1,MOEX,43,QuantGAN,4.0,4.142857142857143,4.071428571428571,4.785714285714286,5.0,4.571428571428571
P,S1,MOEX,43,CONTROL: shuffled real,,,,2.428571428571429,1.0,3.857142857142857
P,S0,MOEX,44,GJR-GARCH,1.2857142857142858,2.5714285714285716,1.9285714285714288,2.642857142857143,2.2857142857142856,3.0
P,S0,MOEX,44,CNN-WGAN-GP,2.642857142857143,2.5714285714285716,2.607142857142857,3.321428571428571,3.642857142857143,3.0
P,S0,MOEX,44,GARCH,3.5714285714285716,3.0,3.2857142857142856,4.071428571428571,4.571428571428571,3.5714285714285716
P,S0,MOEX,44,QuantGAN,4.071428571428571,2.7142857142857144,3.392857142857143,4.035714285714286,5.071428571428571,3.0
P,S0,MOEX,44,TimeGAN,3.4285714285714284,4.142857142857143,3.7857142857142856,4.714285714285714,4.428571428571429,5.0
P,S0,MOEX,44,CONTROL: shuffled real,,,,2.2142857142857144,1.0,3.4285714285714284
P,S1,MOEX,44,GJR-GARCH,1.2857142857142858,2.5714285714285716,1.9285714285714288,2.642857142857143,2.2857142857142856,3.0
P,S1,MOEX,44,CNN-WGAN-GP,2.642857142857143,2.5714285714285716,2.607142857142857,3.321428571428571,3.642857142857143,3.0
P,S1,MOEX,44,GARCH,3.5714285714285716,3.0,3.2857142857142856,4.071428571428571,4.571428571428571,3.5714285714285716
P,S1,MOEX,44,QuantGAN,4.071428571428571,2.7142857142857144,3.392857142857143,4.035714285714286,5.071428571428571,3.0
P,S1,MOEX,44,TimeGAN,3.4285714285714284,4.142857142857143,3.7857142857142856,4.714285714285714,4.428571428571429,5.0
P,S1,MOEX,44,CONTROL: shuffled real,,,,2.2142857142857144,1.0,3.4285714285714284
P,S0,NIFTY50,42,GJR-GARCH,1.8571428571428572,1.5714285714285714,1.7142857142857144,2.357142857142857,2.857142857142857,1.8571428571428572
P,S0,NIFTY50,42,GARCH,2.5714285714285716,2.857142857142857,2.7142857142857144,3.428571428571429,3.5714285714285716,3.2857142857142856
P,S0,NIFTY50,42,CNN-WGAN-GP,3.5714285714285716,2.7142857142857144,3.1428571428571432,3.75,4.5,3.0
P,S0,NIFTY50,42,QuantGAN,3.7142857142857144,3.2857142857142856,3.5,4.428571428571429,4.714285714285714,4.142857142857143
P,S0,NIFTY50,42,TimeGAN,3.2857142857142856,4.571428571428571,3.9285714285714284,4.785714285714286,4.285714285714286,5.285714285714286
P,S0,NIFTY50,42,CONTROL: shuffled real,,,,2.25,1.0714285714285714,3.4285714285714284
P,S1,NIFTY50,42,GJR-GARCH,1.8571428571428572,2.0,1.9285714285714286,2.571428571428571,2.857142857142857,2.2857142857142856
P,S1,NIFTY50,42,GARCH,2.5714285714285716,2.5714285714285716,2.5714285714285716,3.2142857142857144,3.5714285714285716,2.857142857142857
P,S1,NIFTY50,42,CNN-WGAN-GP,3.5714285714285716,2.5714285714285716,3.0714285714285716,3.678571428571429,4.5,2.857142857142857
P,S1,NIFTY50,42,QuantGAN,3.7142857142857144,3.4285714285714284,3.571428571428571,4.428571428571429,4.714285714285714,4.142857142857143
P,S1,NIFTY50,42,TimeGAN,3.2857142857142856,4.428571428571429,3.857142857142857,4.714285714285714,4.285714285714286,5.142857142857143
P,S1,NIFTY50,42,CONTROL: shuffled real,,,,2.392857142857143,1.0714285714285714,3.7142857142857144
P,S0,NIFTY50,43,CNN-WGAN-GP,1.5,3.142857142857143,2.321428571428571,3.0357142857142856,2.5,3.5714285714285716
P,S0,NIFTY50,43,GARCH,3.2857142857142856,1.7142857142857142,2.5,3.142857142857143,4.285714285714286,2.0
P,S0,NIFTY50,43,GJR-GARCH,2.5,2.5714285714285716,2.5357142857142856,3.178571428571429,3.5,2.857142857142857
P,S0,NIFTY50,43,QuantGAN,4.142857142857143,2.857142857142857,3.5,4.142857142857143,5.142857142857143,3.142857142857143
P,S0,NIFTY50,43,TimeGAN,3.5714285714285716,4.714285714285714,4.142857142857143,4.928571428571429,4.571428571428571,5.285714285714286
P,S0,NIFTY50,43,CONTROL: shuffled real,,,,2.5714285714285716,1.0,4.142857142857143
P,S1,NIFTY50,43,CNN-WGAN-GP,1.5,2.857142857142857,2.178571428571429,2.821428571428571,2.5,3.142857142857143
P,S1,NIFTY50,43,GARCH,3.2857142857142856,1.7142857142857142,2.5,3.071428571428571,4.285714285714286,1.8571428571428572
P,S1,NIFTY50,43,GJR-GARCH,2.5,2.857142857142857,2.678571428571429,3.25,3.5,3.0
P,S1,NIFTY50,43,QuantGAN,4.142857142857143,2.857142857142857,3.5,4.071428571428571,5.142857142857143,3.0
P,S1,NIFTY50,43,TimeGAN,3.5714285714285716,4.714285714285714,4.142857142857143,4.928571428571429,4.571428571428571,5.285714285714286
P,S1,NIFTY50,43,CONTROL: shuffled real,,,,2.857142857142857,1.0,4.714285714285714
P,S0,NIFTY50,44,QuantGAN,1.7142857142857142,2.7142857142857144,2.2142857142857144,2.928571428571429,2.7142857142857144,3.142857142857143
P,S0,NIFTY50,44,CNN-WGAN-GP,2.0,2.4285714285714284,2.2142857142857144,2.9642857142857144,2.9285714285714284,3.0
P,S0,NIFTY50,44,GJR-GARCH,3.2857142857142856,2.142857142857143,2.7142857142857144,3.3571428571428568,4.285714285714286,2.4285714285714284
P,S0,NIFTY50,44,GARCH,4.0,2.7142857142857144,3.357142857142857,4.071428571428571,5.0,3.142857142857143
P,S0,NIFTY50,44,TimeGAN,4.0,5.0,4.5,5.5,5.0,6.0
P,S0,NIFTY50,44,CONTROL: shuffled real,,,,2.1785714285714284,1.0714285714285714,3.2857142857142856
P,S1,NIFTY50,44,QuantGAN,1.7142857142857142,2.857142857142857,2.2857142857142856,2.928571428571429,2.7142857142857144,3.142857142857143
P,S1,NIFTY50,44,CNN-WGAN-GP,2.0,2.2857142857142856,2.142857142857143,2.821428571428571,2.9285714285714284,2.7142857142857144
P,S1,NIFTY50,44,GJR-GARCH,3.2857142857142856,2.142857142857143,2.7142857142857144,3.2857142857142856,4.285714285714286,2.2857142857142856
P,S1,NIFTY50,44,GARCH,4.0,2.7142857142857144,3.357142857142857,4.071428571428571,5.0,3.142857142857143
P,S1,NIFTY50,44,TimeGAN,4.0,5.0,4.5,5.5,5.0,6.0
P,S1,NIFTY50,44,CONTROL: shuffled real,,,,2.392857142857143,1.0714285714285714,3.7142857142857144
P,S0,SHANGHAI,42,QuantGAN,2.142857142857143,2.0,2.071428571428571,2.928571428571429,3.142857142857143,2.7142857142857144
P,S0,SHANGHAI,42,GJR-GARCH,2.0,3.2857142857142856,2.642857142857143,3.5,3.0,4.0
P,S0,SHANGHAI,42,GARCH,2.857142857142857,3.142857142857143,3.0,3.857142857142857,3.857142857142857,3.857142857142857
P,S0,SHANGHAI,42,TimeGAN,3.5,3.2857142857142856,3.392857142857143,4.25,4.5,4.0
P,S0,SHANGHAI,42,CNN-WGAN-GP,4.5,3.2857142857142856,3.892857142857143,4.821428571428571,5.5,4.142857142857143
P,S0,SHANGHAI,42,CONTROL: shuffled real,,,,1.6428571428571428,1.0,2.2857142857142856
P,S1,SHANGHAI,42,QuantGAN,2.142857142857143,1.7142857142857142,1.9285714285714284,2.7142857142857144,3.142857142857143,2.2857142857142856
P,S1,SHANGHAI,42,GJR-GARCH,2.0,3.7142857142857144,2.857142857142857,3.7142857142857144,3.0,4.428571428571429
P,S1,SHANGHAI,42,GARCH,2.857142857142857,3.5714285714285716,3.2142857142857144,4.071428571428571,3.857142857142857,4.285714285714286
P,S1,SHANGHAI,42,TimeGAN,3.5,3.0,3.25,4.035714285714286,4.5,3.5714285714285716
P,S1,SHANGHAI,42,CNN-WGAN-GP,4.5,3.0,3.75,4.607142857142858,5.5,3.7142857142857144
P,S1,SHANGHAI,42,CONTROL: shuffled real,,,,1.8571428571428572,1.0,2.7142857142857144
P,S0,SHANGHAI,43,GARCH,1.9285714285714286,1.8571428571428572,1.8928571428571428,2.5,2.857142857142857,2.142857142857143
P,S0,SHANGHAI,43,GJR-GARCH,1.9285714285714286,2.0,1.9642857142857144,2.571428571428571,2.857142857142857,2.2857142857142856
P,S0,SHANGHAI,43,QuantGAN,3.142857142857143,2.857142857142857,3.0,3.7857142857142856,4.142857142857143,3.4285714285714284
P,S0,SHANGHAI,43,CNN-WGAN-GP,3.2857142857142856,3.2857142857142856,3.2857142857142856,4.142857142857142,4.285714285714286,4.0
P,S0,SHANGHAI,43,TimeGAN,4.714285714285714,5.0,4.857142857142858,5.857142857142858,5.714285714285714,6.0
P,S0,SHANGHAI,43,CONTROL: shuffled real,,,,2.142857142857143,1.1428571428571428,3.142857142857143
P,S1,SHANGHAI,43,GARCH,1.9285714285714286,2.142857142857143,2.0357142857142856,2.642857142857143,2.857142857142857,2.4285714285714284
P,S1,SHANGHAI,43,GJR-GARCH,1.9285714285714286,2.2857142857142856,2.107142857142857,2.7142857142857144,2.857142857142857,2.5714285714285716
P,S1,SHANGHAI,43,QuantGAN,3.142857142857143,3.0,3.071428571428571,3.8571428571428577,4.142857142857143,3.5714285714285716
P,S1,SHANGHAI,43,CNN-WGAN-GP,3.2857142857142856,2.857142857142857,3.071428571428571,3.8571428571428568,4.285714285714286,3.4285714285714284
P,S1,SHANGHAI,43,TimeGAN,4.714285714285714,4.714285714285714,4.714285714285714,5.642857142857142,5.714285714285714,5.571428571428571
P,S1,SHANGHAI,43,CONTROL: shuffled real,,,,2.2857142857142856,1.1428571428571428,3.4285714285714284
P,S0,SHANGHAI,44,CNN-WGAN-GP,1.8571428571428572,2.0,1.9285714285714286,2.7142857142857144,2.857142857142857,2.5714285714285716
P,S0,SHANGHAI,44,QuantGAN,2.5714285714285716,1.5714285714285714,2.0714285714285716,2.857142857142857,3.5714285714285716,2.142857142857143
P,S0,SHANGHAI,44,GJR-GARCH,3.642857142857143,3.2857142857142856,3.4642857142857144,4.321428571428571,4.642857142857143,4.0
P,S0,SHANGHAI,44,TimeGAN,3.0,4.428571428571429,3.7142857142857144,4.642857142857142,4.0,5.285714285714286
P,S0,SHANGHAI,44,GARCH,3.9285714285714284,3.7142857142857144,3.821428571428571,4.678571428571429,4.928571428571429,4.428571428571429
P,S0,SHANGHAI,44,CONTROL: shuffled real,,,,1.7857142857142858,1.0,2.5714285714285716
P,S1,SHANGHAI,44,CNN-WGAN-GP,1.8571428571428572,2.0,1.9285714285714286,2.642857142857143,2.857142857142857,2.4285714285714284
P,S1,SHANGHAI,44,QuantGAN,2.5714285714285716,1.5714285714285714,2.0714285714285716,2.7857142857142856,3.5714285714285716,2.0
P,S1,SHANGHAI,44,GJR-GARCH,3.642857142857143,3.2857142857142856,3.4642857142857144,4.25,4.642857142857143,3.857142857142857
P,S1,SHANGHAI,44,TimeGAN,3.0,4.428571428571429,3.7142857142857144,4.642857142857142,4.0,5.285714285714286
P,S1,SHANGHAI,44,GARCH,3.9285714285714284,3.7142857142857144,3.821428571428571,4.607142857142858,4.928571428571429,4.285714285714286
P,S1,SHANGHAI,44,CONTROL: shuffled real,,,,2.071428571428571,1.0,3.142857142857143
F,S0,BOVESPA,42,CNN-WGAN-GP,2.2607142857142857,2.2928571428571427,2.2767857142857144,3.064285714285714,3.257142857142857,2.8714285714285714
F,S0,BOVESPA,42,CONTROL: shuffled real,,,,1.8178571428571426,1.0071428571428571,2.6285714285714286
F,S0,BOVESPA,42,GARCH,3.189285714285714,2.85,3.0196428571428573,3.8517857142857146,4.189285714285715,3.5142857142857147
F,S0,BOVESPA,42,GJR-GARCH,3.0107142857142857,2.6785714285714284,2.8446428571428575,3.6875,4.010714285714286,3.3642857142857148
F,S0,BOVESPA,42,QuantGAN,3.2035714285714283,3.0571428571428574,3.1303571428571426,3.9785714285714286,4.2,3.757142857142857
F,S0,BOVESPA,42,TimeGAN,3.3357142857142854,4.121428571428572,3.7285714285714286,4.6,4.335714285714285,4.864285714285714
F,S0,BOVESPA,43,CNN-WGAN-GP,2.310714285714286,2.7071428571428573,2.5089285714285716,3.3160714285714286,3.3107142857142855,3.3214285714285716
F,S0,BOVESPA,43,CONTROL: shuffled real,,,,1.7660714285714285,1.0035714285714286,2.5285714285714285
F,S0,BOVESPA,43,GARCH,3.2357142857142853,2.914285714285714,3.075,3.907142857142857,4.235714285714286,3.5785714285714283
F,S0,BOVESPA,43,GJR-GARCH,2.4178571428571427,2.257142857142857,2.3375,3.125,3.4142857142857137,2.835714285714286
F,S0,BOVESPA,43,QuantGAN,2.8857142857142857,3.1214285714285714,3.0035714285714286,3.867857142857143,3.8857142857142852,3.85
F,S0,BOVESPA,43,TimeGAN,4.15,4.0,4.075,5.017857142857143,5.15,4.885714285714285
F,S0,BOVESPA,44,CNN-WGAN-GP,2.5535714285714284,2.6,2.5767857142857142,3.342857142857143,3.542857142857143,3.1428571428571432
F,S0,BOVESPA,44,CONTROL: shuffled real,,,,1.9982142857142857,1.025,2.9714285714285715
F,S0,BOVESPA,44,GARCH,3.1535714285714285,2.95,3.0517857142857143,3.8517857142857146,4.1535714285714285,3.55
F,S0,BOVESPA,44,GJR-GARCH,2.682142857142857,2.6214285714285714,2.6517857142857144,3.4375,3.675,3.2
F,S0,BOVESPA,44,QuantGAN,2.810714285714286,3.0285714285714285,2.919642857142857,3.6875,3.8107142857142855,3.5642857142857145
F,S0,BOVESPA,44,TimeGAN,3.8,3.8,3.8,4.682142857142857,4.792857142857143,4.571428571428571
F,S0,FTSE,42,CNN-WGAN-GP,2.575,2.4571428571428573,2.5160714285714283,3.1464285714285714,3.5714285714285716,2.7214285714285715
F,S0,FTSE,42,CONTROL: shuffled real,,,,2.5892857142857144,1.0285714285714285,4.15
F,S0,FTSE,42,GARCH,2.832142857142857,2.9642857142857144,2.898214285714286,3.5625,3.817857142857143,3.307142857142857
F,S0,FTSE,42,GJR-GARCH,2.7607142857142857,2.7928571428571427,2.7767857142857144,3.451785714285714,3.7607142857142852,3.142857142857143
F,S0,FTSE,42,QuantGAN,2.7214285714285715,2.8714285714285714,2.7964285714285717,3.4553571428571432,3.717857142857143,3.192857142857143
F,S0,FTSE,42,TimeGAN,4.110714285714286,3.9142857142857146,4.0125,4.794642857142857,5.103571428571429,4.485714285714286
F,S0,FTSE,43,CNN-WGAN-GP,2.3964285714285714,2.492857142857143,2.444642857142857,3.0625,3.3892857142857147,2.7357142857142858
F,S0,FTSE,43,CONTROL: shuffled real,,,,2.5803571428571432,1.0392857142857141,4.121428571428572
F,S0,FTSE,43,GARCH,2.814285714285714,3.064285714285714,2.939285714285714,3.6089285714285717,3.8035714285714284,3.4142857142857146
F,S0,FTSE,43,GJR-GARCH,2.8071428571428574,2.6071428571428568,2.707142857142857,3.3660714285714284,3.7964285714285717,2.935714285714286
F,S0,FTSE,43,QuantGAN,2.789285714285714,2.95,2.8696428571428574,3.555357142857143,3.782142857142857,3.3285714285714283
F,S0,FTSE,43,TimeGAN,4.192857142857143,3.885714285714286,4.039285714285715,4.826785714285714,5.189285714285714,4.464285714285714
F,S0,FTSE,44,CNN-WGAN-GP,2.832142857142857,3.142857142857143,2.9875,3.6464285714285714,3.8285714285714283,3.4642857142857144
F,S0,FTSE,44,CONTROL: shuffled real,,,,2.7875,1.025,4.55
F,S0,FTSE,44,GARCH,3.3,2.95,3.125,3.776785714285714,4.296428571428572,3.257142857142857
F,S0,FTSE,44,GJR-GARCH,3.1107142857142858,2.8,2.955357142857143,3.594642857142857,4.110714285714286,3.0785714285714283
F,S0,FTSE,44,QuantGAN,3.382142857142857,3.0357142857142856,3.2089285714285714,3.8571428571428568,4.378571428571428,3.3357142857142854
