model,composite_rank,fidelity_rank,temporal_rank,avg_rank,wasserstein,energy_distance,quantile_mse,acf_absolute_mae,tail_index_diff,hurst_diff,resid_kurtosis_diff,discriminative_auc_dist,market,seed,train_seconds,generator_updates,critic_updates,n_params_g
QuantGAN,2.3571,2.2857,2.4286,2.3571,0.0011,0.0,0.0,0.0657,0.4418,0.0323,1.8566,0.0258,FTSE,44,464.6731085823849,9000.0,45000.0,276481.0
CONTROL: shuffled real,,,,,0.0,0.0,0.0,0.0861,0.0,0.1048,1.9809,0.2015,FTSE,44,,,,
QuantGAN,1.7143,1.2857,2.1429,1.7143,0.0014,0.0001,0.0,0.0604,0.4166,0.0552,1.3814,0.0889,MOEX,42,467.57757672388107,9000.0,45000.0,276481.0
TimeGAN,2.0714,2.4286,1.7143,2.0714,0.0025,0.0002,0.0001,0.0595,1.1671,0.1085,2.4299,0.1119,MOEX,42,77.34120626654476,9000.0,9000.0,11400.0
FinGAN,2.2143,2.2857,2.1429,2.2143,0.0028,0.0002,0.0,0.0544,0.4601,0.0207,2.8635,0.1695,MOEX,42,175.03258599713445,9000.0,45000.0,55401.0
CONTROL: shuffled real,,,,,0.0,0.0,0.0,0.0696,0.0,0.0681,0.8262,0.1171,MOEX,42,,,,
FinGAN,1.5714,1.5714,1.5714,1.5714,0.0023,0.0002,0.0,0.0741,1.6638,0.0065,2.6819,0.2255,MOEX,43,171.94915326405317,9000.0,45000.0,55401.0
TimeGAN,2.0714,2.0,2.1429,2.0714,0.0032,0.0004,0.0,0.0836,0.706,0.1372,2.7357,0.2043,MOEX,43,76.03631104622036,9000.0,9000.0,11400.0
QuantGAN,2.3571,2.4286,2.2857,2.3571,0.011,0.0017,0.001,0.1449,0.4272,0.0342,1.9374,0.2489,MOEX,43,460.9757558628917,9000.0,45000.0,276481.0
CONTROL: shuffled real,,,,,0.0,0.0,0.0,0.0696,0.0,0.0681,0.8262,0.1171,MOEX,43,,,,
FinGAN,1.7143,1.7143,1.7143,1.7143,0.0026,0.0002,0.0001,0.0529,0.6675,0.0663,2.1915,0.0851,MOEX,44,175.5126175014302,9000.0,45000.0,55401.0
QuantGAN,2.0714,2.2857,1.8571,2.0714,0.0044,0.0007,0.0001,0.0492,0.5216,0.1263,1.4096,0.2979,MOEX,44,466.9190881792456,9000.0,45000.0,276481.0
TimeGAN,2.2143,2.0,2.4286,2.2143,0.0037,0.0005,0.0,0.1737,1.2848,0.1152,3.1665,0.1586,MOEX,44,77.87984321732074,9000.0,9000.0,11400.0
CONTROL: shuffled real,,,,,0.0,0.0,0.0,0.0696,0.0,0.0681,0.8262,0.1171,MOEX,44,,,,
FinGAN,1.6429,2.0,1.2857,1.6429,0.0041,0.0006,0.0001,0.0555,1.786,0.0031,0.5582,0.3068,NIFTY50,42,176.15731492638588,9000.0,45000.0,55401.0
TimeGAN,2.0357,1.6429,2.4286,2.0357,0.0038,0.0007,0.0,0.0798,1.2901,0.1124,1.2067,0.4038,NIFTY50,42,77.25589631963521,9000.0,9000.0,11400.0
QuantGAN,2.3214,2.3571,2.2857,2.3214,0.0064,0.0006,0.0008,0.2057,1.2368,0.0203,4.8581,0.1278,NIFTY50,42,466.4528288086876,9000.0,45000.0,276481.0
CONTROL: shuffled real,,,,,0.0,0.0,0.0,0.0866,0.0,0.0511,0.9973,0.0058,NIFTY50,42,,,,
FinGAN,1.4286,1.4286,1.4286,1.4286,0.0009,0.0001,0.0,0.0689,0.0917,0.081,0.0066,0.0173,NIFTY50,43,172.80414560250938,9000.0,45000.0,55401.0
QuantGAN,2.0714,2.2857,1.8571,2.0714,0.0021,0.0003,0.0,0.0673,0.5651,0.083,0.6451,0.2936,NIFTY50,43,460.80516124889255,9000.0,45000.0,276481.0
TimeGAN,2.5,2.2857,2.7143,2.5,0.0022,0.0002,0.0,0.0759,0.0237,0.0562,1.0112,0.2987,NIFTY50,43,76.39550449233502,9000.0,9000.0,11400.0
CONTROL: shuffled real,,,,,0.0,0.0,0.0,0.0866,0.0,0.0511,0.9973,0.0058,NIFTY50,43,,,,
FinGAN,1.4286,1.2857,1.5714,1.4286,0.0012,0.0001,0.0,0.0662,0.4685,0.0329,0.2792,0.0926,NIFTY50,44,174.17780346237123,9000.0,45000.0,55401.0
QuantGAN,1.7143,2.0,1.4286,1.7143,0.002,0.0002,0.0,0.0388,1.5254,0.0095,0.2936,0.1948,NIFTY50,44,471.3217530576512,9000.0,45000.0,276481.0
TimeGAN,2.8571,2.7143,3.0,2.8571,0.0046,0.0014,0.0,0.0925,6.0894,0.1633,2.2308,0.4514,NIFTY50,44,78.30462132114917,9000.0,9000.0,11400.0
CONTROL: shuffled real,,,,,0.0,0.0,0.0,0.0866,0.0,0.0511,0.9973,0.0058,NIFTY50,44,,,,
QuantGAN,1.3571,1.0,1.7143,1.3571,0.0022,0.0002,0.0,0.0619,0.3068,0.0505,11.2045,0.0908,SHANGHAI,42,471.2963609881699,9000.0,45000.0,276481.0
TimeGAN,1.9286,2.0,1.8571,1.9286,0.004,0.0005,0.0001,0.0575,0.3277,0.0702,10.4674,0.3621,SHANGHAI,42,77.62689458206296,9000.0,9000.0,11400.0
FinGAN,2.7143,3.0,2.4286,2.7143,0.0058,0.0011,0.0001,0.0971,1.865,0.1221,12.5174,0.343,SHANGHAI,42,176.00359047297388,9000.0,45000.0,55401.0
CONTROL: shuffled real,,,,,0.0,0.0,0.0,0.076,0.0,0.0806,0.7718,0.0854,SHANGHAI,42,,,,
QuantGAN,1.4286,1.4286,1.4286,1.4286,0.0013,0.0001,0.0,0.0599,1.0546,0.0667,11.6256,0.2135,SHANGHAI,43,463.2394342338666,9000.0,45000.0,276481.0
FinGAN,1.6429,1.7143,1.5714,1.6429,0.0021,0.0002,0.0,0.0687,0.5792,0.0085,12.1188,0.2007,SHANGHAI,43,172.99241953715682,9000.0,45000.0,55401.0
TimeGAN,2.9286,2.8571,3.0,2.9286,0.0063,0.0016,0.0001,0.4048,5.2177,0.1273,12.809,0.407,SHANGHAI,43,76.17922180052847,9000.0,9000.0,11400.0
CONTROL: shuffled real,,,,,0.0,0.0,0.0,0.076,0.0,0.0806,0.7718,0.0854,SHANGHAI,43,,,,
FinGAN,1.6429,1.5714,1.7143,1.6429,0.0013,0.0001,0.0,0.0664,3.1688,0.0508,13.0474,0.0405,SHANGHAI,44,182.07287499774247,9000.0,45000.0,55401.0
QuantGAN,1.9286,2.1429,1.7143,1.9286,0.0025,0.0003,0.0,0.0584,0.9957,0.0876,9.7424,0.2275,SHANGHAI,44,484.3283871244639,9000.0,45000.0,276481.0
TimeGAN,2.4286,2.2857,2.5714,2.4286,0.0058,0.0031,0.0,0.0668,0.3662,0.089,12.0442,0.4904,SHANGHAI,44,78.8336595511064,9000.0,9000.0,11400.0
CONTROL: shuffled real,,,,,0.0,0.0,0.0,0.076,0.0,0.0806,0.7718,0.0854,SHANGHAI,44,,,,
